Player,Position,Score,Value over Avg,Value over Next
Vernon Davis SF TE,TE,53.77,-18.13,3.50
Rashad Jennings NYG RB,RB,79.73,-18.32,0.80
Carson Palmer Ari QB P,QB,217.55,-18.91,2.04
Torrey Smith SF WR P,WR,86.37,-18.92,0.73
Ameer Abdullah Det RB,RB,78.93,-19.12,5.52
Victor Cruz NYG WR P,WR,85.64,-19.66,3.30
Jay Cutler Chi QB,QB,215.51,-20.95,8.45
Jace Amaro NYJ TE Q,TE,50.27,-21.63,0.13
Jacob Tamme Atl TE,TE,50.14,-21.76,3.83
Roddy White Atl WR Q,WR,82.34,-22.96,0.98
Kendall Wright Ten WR,WR,81.35,-23.94,0.20
DeVante Parker Mia WR Q,WR,81.15,-24.14,1.65
Isaiah Crowell Cle RB,RB,73.41,-24.64,0.07
Shane Vereen NYG RB,RB,73.34,-24.71,4.19
Josh Hill NO TE,TE,46.31,-25.60,0.26
Marques Colston NO WR,WR,79.50,-25.79,1.39
Ladarius Green SD TE,TE,46.05,-25.85,6.99
Malcom Floyd SD WR,WR,78.11,-27.18,0.53
Cody Latimer Den WR,WR,77.59,-27.71,0.20
Brandon LaFell* NE WR O,WR,77.39,-27.91,1.84
Bishop Sankey Ten RB,RB,69.15,-28.90,1.08
Joe Flacco Bal QB,QB,207.05,-29.41,1.44
Eddie Royal Chi WR P,WR,75.55,-29.75,0.73
Duke Johnson Cle RB Q,RB,68.07,-29.98,0.76
Pierre Garcon Wsh WR,WR,74.82,-30.47,0.67
Steve Smith Sr. Bal WR,WR,74.82,-30.47,0.00
Doug Martin TB RB,RB,67.31,-30.74,4.90
Andy Dalton Cin QB P,QB,205.62,-30.84,4.09
Brandon Coleman NO WR,WR,74.15,-31.14,0.19
Michael Crabtree Oak WR,WR,73.96,-31.33,0.39
Anquan Boldin SF WR,WR,73.57,-31.72,1.33
Mychal Rivera Oak TE,TE,39.06,-32.84,2.51
Terrance Williams Dal WR,WR,72.24,-33.05,0.32
Rueben Randle NYG WR P,WR,71.92,-33.38,0.53
Doug Baldwin Sea WR,WR,71.39,-33.91,0.67
Martavis Bryant Pit WR SSPD,WR,70.72,-34.57,0.92
Jameis Winston TB QB P,QB,201.53,-34.93,2.04
Rob Housler Cle TE,TE,36.55,-35.35,4.95
Brian Quick StL WR P,WR,69.80,-35.49,1.19
Danny Woodhead SD RB,RB,62.41,-35.64,2.97
Stevie Johnson SD WR,WR,68.62,-36.68,1.84
Teddy Bridgewater Min QB,QB,199.49,-36.97,4.48
Nate Washington Hou WR,WR,66.77,-38.52,1.32
Lorenzo Taliaferro Bal RB D,RB,59.44,-38.61,2.10
Kenny Stills Mia WR,WR,65.45,-39.84,0.14
Kenny Britt StL WR,WR,65.32,-39.98,0.98
Clive Walford Oak TE Q,TE,31.60,-40.30,0.40
Gavin Escobar Dal TE P,TE,31.20,-40.70,0.26
Charles Sims TB RB,RB,57.34,-40.71,2.39
Garrett Graham Hou TE,TE,30.94,-40.96,0.53
Markus Wheaton Pit WR,WR,64.33,-40.96,0.14
Marvin Jones Cin WR,WR,64.19,-41.10,0.92
Alex Smith KC QB,QB,195.01,-41.45,3.69
Lance Kendricks StL TE,TE,30.41,-41.49,0.99
Ty Montgomery GB WR,WR,63.27,-42.02,0.33
Tyler Lockett Sea WR,WR,62.94,-42.35,0.99
Dennis Pitta* Bal TE O,TE,29.42,-42.48,0.46
Brent Celek Phi TE,TE,28.96,-42.94,0.46
James White NE RB,RB,54.95,-43.10,1.56
Leonard Hankerson Atl WR,WR,61.95,-43.34,2.11
Jermaine Gresham Ari TE P,TE,28.50,-43.40,0.66
Dion Sims Mia TE,TE,27.84,-44.06,0.92
Roy Helu Oak RB,RB,53.38,-44.66,2.27
Crockett Gillmore Bal TE,TE,26.92,-44.99,0.13
Darren Fells Ari TE,TE,26.78,-45.12,0.20
Marcus Mariota Ten QB,QB,191.32,-45.14,0.77
Marcedes Lewis Jac TE,TE,26.59,-45.32,0.79
Jermaine Kearse Sea WR,WR,59.84,-45.46,0.52
Colin Kaepernick SF QB,QB,190.55,-45.91,0.79
Dwayne Bowe Cle WR P,WR,59.32,-45.98,0.26
Virgil Green Den TE,TE,25.79,-46.11,1.25
Allen Hurns Jac WR P,WR,59.05,-46.24,2.45
Derek Carr Oak QB,QB,189.76,-46.70,1.66
Knile Davis KC RB,RB,51.11,-46.94,1.14
Andrew Quarless GB TE,TE,24.54,-47.36,1.25
Andre Williams NYG RB,RB,49.98,-48.07,2.14
Tom Brady NE QB SSPD,QB,188.11,-48.35,7.70
Scott Chandler NE TE,TE,23.29,-48.62,2.51
Phillip Dorsett Ind WR P,WR,56.60,-48.69,0.32
Corey Brown Car WR,WR,56.28,-49.01,1.98
Darren McFadden Dal RB,RB,47.83,-50.21,0.50
Alfred Blue Hou RB,RB,47.33,-50.72,0.15
Denard Robinson Jac RB,RB,47.18,-50.87,0.63
Percy Harvin Buf WR P,WR,54.30,-50.99,1.91
Jack Doyle Ind TE,TE,20.78,-51.13,2.30
Reggie Bush SF RB,RB,46.55,-51.50,0.32
Lance Dunbar Dal RB,RB,46.23,-51.82,0.65
Ronnie Hillman Den RB,RB,45.58,-52.47,0.57
Reggie Wayne NE WR,WR,52.39,-52.91,0.79
Jerick McKinnon Min RB,RB,45.01,-53.04,0.08
Jonas Gray NE RB,RB,44.93,-53.12,1.39
David Johnson SD TE,TE,18.47,-53.43,0.73
Cole Beasley Dal WR,WR,51.59,-53.70,0.53
Ed Dickson Car TE,TE,17.75,-54.16,0.53
Kamar Aiken Bal WR,WR,51.07,-54.23,0.92
David Johnson Ari RB P,RB,43.54,-54.51,1.05
Daniel Fells NYG TE,TE,17.22,-54.68,0.86
Robert Woods Buf WR P,WR,50.14,-55.15,0.46
Derek Carrier Wsh TE,TE,16.36,-55.54,0.26
Matt Jones Wsh RB,RB,42.49,-55.56,1.20
Devin Smith NYJ WR Q,WR,49.68,-55.61,1.98
C.J. Fiedorowicz Hou TE,TE,16.10,-55.81,0.92
Blake Bortles Jac QB,QB,180.40,-56.06,0.47
Nick Foles StL QB,QB,179.94,-56.52,17.21
MyCole Pruitt Min TE Q,TE,15.17,-56.73,0.40
Darren Sproles Phi RB,RB,41.29,-56.76,0.47
Levine Toilolo Atl TE,TE,14.78,-57.13,0.07
Troy Niklas Ari TE Q,TE,14.71,-57.19,0.46
Tre Mason StL RB P,RB,40.81,-57.23,0.19
Fred Jackson Buf RB,RB,40.63,-57.42,2.29
Greg Jennings Mia WR P,WR,47.70,-57.59,0.40
Luke Willson Sea TE,TE,14.25,-57.65,0.13
Joseph Fauria Det TE P,TE,14.12,-57.79,0.07
Brandon Myers TB TE,TE,14.05,-57.85,0.13
Jeff Cumberland NYJ TE,TE,13.92,-57.98,0.33
James O'Shaughnessy KC TE,TE,13.92,-57.98,0.00
Donte Moncrief Ind WR,WR,47.30,-57.99,0.13
Cecil Shorts III Hou WR,WR,47.17,-58.12,0.20
James Casey Den TE,TE,13.59,-58.31,0.26
Marqise Lee Jac WR Q,WR,46.97,-58.32,0.53
Ryan Griffin Hou TE,TE,13.33,-58.58,0.73
Dorial Green-Beckham Ten WR P,WR,46.45,-58.85,0.65
Gary Barnidge Cle TE,TE,12.60,-59.30,0.26
Andrew Hawkins Cle WR,WR,45.79,-59.50,2.32
MarQueis Gray Buf TE,TE,12.34,-59.57,0.46
Dexter McCluster Ten WR RB,RB,38.33,-59.72,1.12
Tony Moeaki Atl TE,TE,11.87,-60.03,0.20
Tyler Kroft Cin TE,TE,11.68,-60.23,0.20
Dante Rosario Chi TE,TE,11.68,-60.23,0.00
Jim Dray Cle TE,TE,11.48,-60.43,0.53
Terrance West Cle RB,RB,37.21,-60.84,0.33
Anthony Fasano Ten TE,TE,10.95,-60.95,0.92
Craig Stevens Ten TE,TE,10.95,-60.95,0.00
Logan Paulsen* Wsh TE IR,TE,10.95,-60.95,0.00
David Cobb Ten RB Q,RB,36.89,-61.16,1.39
Kevin White* Chi WR O,WR,43.48,-61.82,0.85
Brandon Pettigrew Det TE,TE,10.03,-61.88,4.68
Mike Tolbert Car RB,RB,35.49,-62.56,0.05
DeAngelo Williams Pit RB,RB,35.44,-62.61,0.31
Brian Hartline Cle WR,WR,42.62,-62.67,2.31
Bilal Powell NYJ RB Q,RB,35.13,-62.92,1.48
Daniel Herron Ind RB,RB,33.65,-64.40,0.74
Andre Roberts Wsh WR,WR,40.31,-64.98,1.52
Benjamin Cunningham StL RB,RB,32.91,-65.14,1.23
Montee Ball Den RB,RB,31.68,-66.37,1.79
Harry Douglas Ten WR,WR,38.80,-66.50,0.79
Lee Smith Oak TE,TE,5.35,-66.56,0.53
Vance McDonald SF TE P,TE,4.82,-67.09,0.13
Blake Bell SF TE,TE,4.69,-67.22,0.46
Rod Streater Oak WR,WR,38.00,-67.29,0.59
Cory Harkey StL TE,TE,4.22,-67.68,0.92
Taylor Gabriel Cle WR,WR,37.41,-67.88,0.20
Hakeem Nicks Ten WR P,WR,37.21,-68.08,0.26
De'Anthony Thomas KC RB WR P,RB,29.90,-68.15,0.28
Jerricho Cotchery Car WR Q,WR,36.95,-68.35,0.53
James Starks GB RB,RB,29.62,-68.43,1.92
Chris Gragg Buf TE,TE,3.30,-68.60,0.20
Ryan Hewitt Cin TE,TE,3.10,-68.80,0.07
Matt Spaeth Pit TE,TE,3.04,-68.87,0.07
Jaelen Strong Hou WR,WR,36.42,-68.87,1.25
Michael Hoomanawanui NE TE,TE,2.97,-68.93,0.07
Gerald Christian Ari TE,TE,2.97,-68.93,0.00
Jesse James Pit TE,TE,2.97,-68.93,0.00
Jeff Heuerman* Den TE O,TE,2.90,-69.00,0.13
John Phillips SD TE,TE,2.77,-69.13,0.13
Luke Stocker TB TE,TE,2.64,-69.26,0.07
Zach Sudfeld* NYJ TE IR,TE,2.64,-69.26,0.00
Kellen Davis NYJ TE,TE,2.64,-69.26,0.00
James Hanna Dal TE Q,TE,2.57,-69.33,0.59
Rhett Ellison Min TE,TE,2.57,-69.33,0.00
Clay Harbor Jac TE P,TE,2.57,-69.33,0.00
Malcolm Johnson Cle TE,TE,1.98,-69.92,0.53
Ted Ginn Jr. Car WR,WR,35.17,-70.13,0.26
Theo Riddick Det RB,RB,27.70,-70.34,0.17
Jarius Wright Min WR,WR,34.90,-70.39,0.46
Adrien Robinson NYG TE,TE,1.45,-70.45,0.07
Arthur Lynch NYJ TE,TE,1.45,-70.45,0.00
Josh Robinson Ind RB Q,RB,27.54,-70.51,1.26
Bear Pascoe Chi TE,TE,1.39,-70.52,0.07
Kennard Backman GB TE,TE,1.32,-70.58,0.13
Trey Burton Phi TE,TE,1.32,-70.58,0.00
Chase Ford Min TE,TE,1.32,-70.58,0.00
Nick Boyle Bal TE,TE,1.32,-70.58,0.00
Timothy Wright TB TE,TE,1.32,-70.58,0.00
C.J. Uzomah Cin TE,TE,1.32,-70.58,0.00
Brandon Williams Car TE,TE,1.19,-70.72,0.13
Taylor Thompson Ten TE P,TE,1.19,-70.72,0.00
