PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
53,Rueben Randle NYG WR P,0/0,0,0,0,0,0,0,51,726,4,96
54,Brandon Coleman NO WR,0/0,0,0,0,0,0,0,41,669,5,96
55,Percy Harvin Buf WR P,0/0,0,0,0,23,147,1,50,550,3,94.8
56,Terrance Williams Dal WR,0/0,0,0,0,0,0,0,39,640,5,94
57,Brian Quick StL WR P,0/0,0,0,0,0,0,0,49,694,4,93
58,Martavis Bryant Pit WR SSPD,0/0,0,0,0,3,20,0,41,617,5,93
59,Ty Montgomery GB WR,0/0,0,0,0,6,40,0,44,595,4,91.3
60,Nate Washington Hou WR,0/0,0,0,0,0,0,0,49,739,3,91
61,Stevie Johnson SD WR,0/0,0,0,0,0,0,0,51,676,4,91
62,Kenny Stills Mia WR,0/0,0,0,0,4,25,0,50,719,3,91
63,Markus Wheaton Pit WR,0/0,0,0,0,4,29,0,51,702,3,91
64,Tyler Lockett Sea WR,0/0,0,0,0,2,15,0,41,590,4,88.7
65,Kenny Britt StL WR,0/0,0,0,0,0,0,0,42,626,4,86
66,Marvin Jones Cin WR,0/0,0,0,0,2,15,0,47,609,4,85
67,Allen Hurns Jac WR P,0/0,0,0,0,4,24,0,47,622,3,82
68,Leonard Hankerson Atl WR,0/0,0,0,0,0,0,0,45,575,4,81
69,Corey Brown Car WR,0/0,0,0,0,9,59,0,39,580,3,81
70,Phillip Dorsett Ind WR P,0/0,0,0,0,4,26,0,41,494,4,78.8
71,Dwayne Bowe Cle WR P,0/0,0,0,0,0,0,0,50,626,3,78
72,Jermaine Kearse Sea WR,0/0,0,0,0,0,0,0,37,543,4,78
73,Reggie Wayne NE WR,0/0,0,0,0,0,0,0,41,521,3,70
74,Cole Beasley Dal WR,0/0,0,0,0,0,0,0,43,509,3,69.2
75,Kamar Aiken Bal WR,0/0,0,0,0,0,0,0,38,501,3,68
76,Andrew Hawkins Cle WR,0/0,0,0,0,7,45,0,50,512,2,67
77,Devin Smith NYJ WR Q,0/0,0,0,0,2,11,0,34,480,3,67
78,Robert Woods Buf WR P,0/0,0,0,0,0,0,0,37,487,3,66.8
79,Donte Moncrief Ind WR,0/0,0,0,0,5,33,0,32,444,3,65
80,Greg Jennings Mia WR P,0/0,0,0,0,0,0,0,32,450,3,63
81,Cecil Shorts III Hou WR,0/0,0,0,0,0,0,0,35,442,3,62
82,Dexter McCluster Ten WR RB,0/0,0,0,0,39,160,1,33,302,1,61.9
83,Andre Roberts Wsh WR,0/0,0,0,0,2,13,0,35,429,2,61.4
84,Marqise Lee Jac WR Q,0/0,0,0,0,0,0,0,38,439,3,61
85,Dorial Green-Beckham Ten WR P,0/0,0,0,0,0,0,0,31,431,3,61
86,Tavon Austin StL WR,0/0,0,0,0,22,161,0,32,337,1,60.2
87,Brian Hartline Cle WR,0/0,0,0,0,0,0,0,34,464,2,58
88,Kevin White* Chi WR O,0/0,0,0,0,0,0,0,28,386,3,56
89,Harry Douglas Ten WR,0/0,0,0,0,0,0,0,33,406,2,52
90,Rod Streater Oak WR,0/0,0,0,0,0,0,0,29,394,2,51
91,Taylor Gabriel Cle WR,0/0,0,0,0,2,15,0,28,385,2,51
92,Ted Ginn Jr. Car WR,0/0,0,0,0,4,30,0,24,351,2,50
93,Hakeem Nicks Ten WR P,0/0,0,0,0,0,0,0,28,382,2,50
94,Jerricho Cotchery Car WR Q,0/0,0,0,0,0,0,0,29,378,2,49
95,Jaelen Strong Hou WR,0/0,0,0,0,0,0,0,29,370,2,49
96,Jarius Wright Min WR,0/0,0,0,0,4,26,0,27,347,2,48
97,De'Anthony Thomas KC RB WR P,0/0,0,0,0,15,91,0,28,216,2,47.3
98,Chris Conley KC WR,0/0,0,0,0,0,0,0,28,340,2,47
99,Mohamed Sanu Cin WR,0/0,0,0,0,9,60,0,26,284,2,46
100,Albert Wilson KC WR P,0/0,0,0,0,0,0,0,29,333,2,45
101,Riley Cooper Phi WR P,0/0,0,0,0,0,0,0,23,328,2,44
102,Andre Holmes Oak WR D,0/0,0,0,0,0,0,0,22,328,2,44
103,Danny Amendola NE WR,0/0,0,0,0,0,0,0,28,290,2,43.4
104,Nick Toon NO WR Q,0/0,0,0,0,0,0,0,19,314,2,43
105,Louis Murphy TB WR,0/0,0,0,0,0,0,0,20,290,2,41
106,Cordarrelle Patterson Min WR,0/0,0,0,0,8,56,0,20,244,1,37.4
107,Jeff Janis GB WR,0/0,0,0,0,0,0,0,16,251,2,37
108,Marquess Wilson Chi WR Q,0/0,0,0,0,0,0,0,20,249,2,36
109,Stedman Bailey StL WR,0/0,0,0,0,0,0,0,23,291,1,35
110,Quinton Patton SF WR,0/0,0,0,0,2,14,0,21,281,1,35
111,Marlon Brown Bal WR,0/0,0,0,0,0,0,0,18,223,2,34
112,Jamison Crowder Wsh WR,0/0,0,0,0,0,0,0,23,278,1,33.6
113,Chris Matthews Sea WR P,0/0,0,0,0,0,0,0,13,197,2,31
114,Devin Hester Atl WR,0/0,0,0,0,8,51,0,11,144,1,29.7
115,Jerome Simpson SF WR SSPD,0/0,0,0,0,0,0,0,16,222,1,28
116,Justin Hardy Atl WR,0/0,0,0,0,0,0,0,19,228,1,28
117,Corey Fuller Det WR,0/0,0,0,0,4,27,0,13,197,1,27
118,Josh Huff Phi WR,0/0,0,0,0,0,0,0,14,175,1,26
119,Rashad Greene Jac WR,0/0,0,0,0,0,0,0,15,189,1,24.9
120,Kenny Bell TB WR Q,0/0,0,0,0,0,0,0,15,186,1,24
121,Sammie Coates Pit WR,0/0,0,0,0,0,0,0,13,180,1,24
122,Justin Hunter Ten WR,0/0,0,0,0,0,0,0,12,179,1,23
123,Jaron Brown Ari WR,0/0,0,0,0,0,0,0,13,169,1,22
124,Jeremy Kerley NYJ WR Q,0/0,0,0,0,2,14,0,10,118,1,20.5
125,Michael Campanaro Bal WR Q,0/0,0,0,0,4,28,0,7,93,1,19.8
126,Joseph Morgan NO WR,0/0,0,0,0,0,0,0,8,118,1,17
127,Seantavius Jones NO WR,0/0,0,0,0,0,0,0,8,119,1,17
128,Travis Benjamin Cle WR,0/0,0,0,0,5,30,0,7,99,0,16.8
129,Miles Austin Phi WR,0/0,0,0,0,0,0,0,8,102,1,16
130,Devin Street Dal WR P,0/0,0,0,0,0,0,0,6,92,1,15
131,Corey Washington NYG WR Q,0/0,0,0,0,0,0,0,7,97,1,15
132,Bruce Ellington SF WR,0/0,0,0,0,6,41,0,8,105,0,15
133,Dontrelle Inman SD WR Q,0/0,0,0,0,0,0,0,6,89,1,14
134,Jacoby Jones SD WR,0/0,0,0,0,0,0,0,3,48,0,9.9
135,Chris Hogan Buf WR Q,0/0,0,0,0,0,0,0,6,82,0,8
136,Rishard Matthews Mia WR,0/0,0,0,0,0,0,0,5,71,0,7.9
137,Jeremy Ross Det WR,0/0,0,0,0,0,0,0,2,22,0,7.1
138,Jason Avant KC WR,0/0,0,0,0,0,0,0,6,79,0,7
139,Terrelle Pryor Cle WR Q,0/0,0,0,0,5,30,0,4,48,0,7
140,Stefon Diggs Min WR,0/0,0,0,0,0,0,0,6,79,0,7
141,Damaris Johnson Hou WR,0/0,0,0,0,2,15,0,3,42,0,6.4
142,Dwayne Harris NYG WR,0/0,0,0,0,0,0,0,2,25,0,6.2
143,Ace Sanders Jac WR SSPD,0/0,0,0,0,0,0,0,3,43,0,6.2
144,Josh Morgan NO WR,0/0,0,0,0,0,0,0,4,60,0,6
145,Jarrett Boykin Car WR,0/0,0,0,0,0,0,0,4,56,0,5
146,Paul Richardson* Sea WR O,0/0,0,0,0,0,0,0,4,55,0,5
147,Jared Abbrederis GB WR Q,0/0,0,0,0,0,0,0,3,50,0,5
148,Robert Herron TB WR,0/0,0,0,0,0,0,0,4,54,0,5
149,Andre Caldwell Den WR,0/0,0,0,0,0,0,0,4,49,0,4.9
150,Lance Moore Det WR,0/0,0,0,0,0,0,0,3,45,0,4
151,James Jones NYG WR,0/0,0,0,0,0,0,0,4,48,0,4
152,Darrius Heyward-Bey Pit WR,0/0,0,0,0,0,0,0,4,48,0,4
153,Ricardo Lockette Sea WR,0/0,0,0,0,0,0,0,3,46,0,4
154,Joshua Bellamy Chi WR,0/0,0,0,0,0,0,0,4,46,0,4
155,Kenbrell Thompkins Oak WR,0/0,0,0,0,0,0,0,3,44,0,4
156,Ryan Grant Wsh WR,0/0,0,0,0,0,0,0,3,43,0,4
157,Neal Sterling Jac WR,0/0,0,0,0,0,0,0,3,40,0,4
158,Keith Mumphery Hou WR,0/0,0,0,0,0,0,0,3,40,0,4
159,JJ Nelson Ari WR,0/0,0,0,0,0,0,0,3,43,0,4
160,Chris Givens StL WR,0/0,0,0,0,0,0,0,3,39,0,3.5
161,Alan Bonner Hou WR,0/0,0,0,0,2,15,0,2,21,0,3
162,Tre McBride Ten WR,0/0,0,0,0,0,0,0,1,19,0,2.7
163,Brandon Tate Cin WR,0/0,0,0,0,0,0,0,1,18,0,2.3
164,Marc Mariani Chi WR,0/0,0,0,0,0,0,0,1,8,0,2.2
165,Eric Weems Atl WR,0/0,0,0,0,0,0,0,2,25,0,2.2
166,Seyi Ajirotutu Phi WR,0/0,0,0,0,0,0,0,2,21,0,2
167,Aaron Dobson NE WR,0/0,0,0,0,0,0,0,2,24,0,2
168,Chris Harper* NYG WR IR,0/0,0,0,0,0,0,0,2,25,0,2
169,Myles White GB WR,0/0,0,0,0,0,0,0,2,25,0,2
170,Darren Waller Bal WR,0/0,0,0,0,0,0,0,2,21,0,2
171,Duron Carter Ind WR,0/0,0,0,0,0,0,0,2,23,0,2
172,Gerell Robinson Mia WR,0/0,0,0,0,0,0,0,2,21,0,2
173,Ifeanyi Momah Ari WR,0/0,0,0,0,0,0,0,2,22,0,2
174,Brenton Bersin Car WR,0/0,0,0,0,0,0,0,1,19,0,1.2
175,James Wright* Cin WR IR,0/0,0,0,0,0,0,0,1,18,0,1
176,Denarius Moore Cin WR,0/0,0,0,0,0,0,0,1,18,0,1
177,Marcus Harris* NYG WR IR,0/0,0,0,0,0,0,0,1,18,0,1
178,Vince Mayle Cle WR P,0/0,0,0,0,0,0,0,1,16,0,1
179,Steve Smith FA WR,0/0,0,0,0,0,0,0,0,0,0,0
180,Jordy Nelson* GB WR O,0/0,0,0,0,0,0,0,0,0,0,0
181,Brandon Gibson* NE WR IR,0/0,0,0,0,0,0,0,0,0,0,0
182,Justin Blackmon Jac WR SSPD,0/0,0,0,0,0,0,0,0,0,0,0
183,DeVier Posey NYJ WR,0/0,0,0,0,0,0,0,0,4,0,0
184,Marquise Goodwin Buf WR Q,0/0,0,0,0,0,0,0,0,0,0,0
185,Kelvin Benjamin* Car WR O,0/0,0,0,0,0,0,0,0,0,0,0
186,Kevin Norwood Sea WR,0/0,0,0,0,0,0,0,1,9,0,0
187,DeAndre Smelter* SF WR O,0/0,0,0,0,0,0,0,0,0,0,0
