PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
RNK,PLAYER TEAM POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
1,Antonio Brown Pit WR,0/0,0,0,0,5,30,0,115,1513,9,208.7
2,Demaryius Thomas Den WR,0/0,0,0,0,0,0,0,102,1302,11,196
3,Dez Bryant Dal WR P,0/0,0,0,0,0,0,0,90,1367,10,194
4,Calvin Johnson Det WR,0/0,0,0,0,0,0,0,87,1283,10,188
5,Julio Jones Atl WR,0/0,0,0,0,2,13,0,105,1403,8,187.1
6,Odell Beckham Jr. NYG WR P,0/0,0,0,0,8,55,0,102,1363,8,187
7,A.J. Green Cin WR,0/0,0,0,0,5,30,0,90,1271,9,182.1
8,Randall Cobb GB WR Q,0/0,0,0,0,14,106,0,89,1211,8,179
9,Alshon Jeffery Chi WR Q,0/0,0,0,0,8,51,0,88,1220,8,173
10,T.Y. Hilton Ind WR,0/0,0,0,0,4,26,0,86,1195,8,167.6
11,Mike Evans TB WR Q,0/0,0,0,0,0,0,0,81,1207,7,160
12,Brandin Cooks NO WR,0/0,0,0,0,12,82,0,83,1130,6,157.8
13,Emmanuel Sanders Den WR P,0/0,0,0,0,9,60,0,78,1090,7,155
14,Julian Edelman NE WR P,0/0,0,0,0,9,60,0,94,1003,7,149
15,DeAndre Hopkins Hou WR,0/0,0,0,0,0,0,0,83,1175,5,145.1
16,Keenan Allen SD WR,0/0,0,0,0,0,0,0,78,1054,6,139.6
17,Jordan Matthews Phi WR,0/0,0,0,0,0,0,0,78,967,7,138
18,Davante Adams GB WR,0/0,0,0,0,0,0,0,66,964,7,138
19,Golden Tate Det WR,0/0,0,0,0,4,26,0,85,1065,5,136.1
20,Sammy Watkins Buf WR P,0/0,0,0,0,5,31,0,72,996,6,136
21,Andre Johnson Ind WR,0/0,0,0,0,0,0,0,71,895,8,135.1
22,Brandon Marshall NYJ WR,0/0,0,0,0,0,0,0,76,959,7,135
23,DeSean Jackson Wsh WR P,0/0,0,0,0,4,26,0,70,1072,4,133.3
24,Allen Robinson Jac WR,0/0,0,0,0,0,0,0,79,1039,5,133
25,Amari Cooper Oak WR,0/0,0,0,0,4,25,0,77,1027,5,132
26,Jarvis Landry Mia WR,0/0,0,0,0,4,26,0,91,962,5,130.2
27,Vincent Jackson TB WR,0/0,0,0,0,0,0,0,65,1001,5,130
28,Jeremy Maclin KC WR,0/0,0,0,0,0,0,0,77,997,5,129.7
29,Nelson Agholor Phi WR,0/0,0,0,0,0,0,0,68,911,6,128.1
30,Eric Decker NYJ WR,0/0,0,0,0,0,0,0,72,937,5,123
31,Michael Floyd Ari WR Q,0/0,0,0,0,0,0,0,60,859,6,119.1
32,Larry Fitzgerald Ari WR,0/0,0,0,0,0,0,0,66,830,6,119
33,John Brown Ari WR,0/0,0,0,0,4,25,0,62,870,5,119
34,Torrey Smith SF WR P,0/0,0,0,0,0,0,0,57,945,4,118
35,Charles Johnson Min WR,0/0,0,0,0,0,0,0,60,881,5,118
36,Mike Wallace Min WR,0/0,0,0,0,0,0,0,59,894,5,117
37,Devin Funchess Car WR P,0/0,0,0,0,0,0,0,63,793,6,115
38,Victor Cruz NYG WR P,0/0,0,0,0,0,0,0,63,843,5,114
39,Breshad Perriman Bal WR Q,0/0,0,0,0,0,0,0,57,783,6,114
40,Kendall Wright Ten WR,0/0,0,0,0,4,25,0,79,869,4,110
41,Roddy White Atl WR Q,0/0,0,0,0,0,0,0,63,793,5,107.1
42,DeVante Parker Mia WR Q,0/0,0,0,0,0,0,0,56,775,5,107
43,Marques Colston NO WR,0/0,0,0,0,0,0,0,51,750,5,105
44,Anquan Boldin SF WR,0/0,0,0,0,0,0,0,69,842,3,102
45,Malcom Floyd SD WR,0/0,0,0,0,0,0,0,42,729,5,102
46,Cody Latimer Den WR,0/0,0,0,0,0,0,0,54,721,5,102
47,Brandon LaFell* NE WR O,0/0,0,0,0,0,0,0,55,718,5,101.4
48,Eddie Royal Chi WR P,0/0,0,0,0,0,0,0,65,781,4,101.3
49,Pierre Garcon Wsh WR,0/0,0,0,0,0,0,0,60,770,4,101
50,Steve Smith Sr. Bal WR,0/0,0,0,0,0,0,0,58,770,4,99.1
51,Michael Crabtree Oak WR,0/0,0,0,0,0,0,0,64,757,4,99
52,Doug Baldwin Sea WR,0/0,0,0,0,2,15,0,54,718,4,97.4
