Player,Position,Score,Marginal Value
Richard Rodgers GB TE,TE,115.70,-23.20
Jameis Winston TB QB,QB,247.50,-23.92
Teddy Bridgewater Min QB,QB,247.30,-24.12
Carson Palmer Ari QB P,QB,246.88,-24.54
Marques Colston NO WR,WR,163.70,-26.00
Martavis Bryant Pit WR,WR,163.30,-26.40
Roy Helu Oak RB Q,RB,130.20,-27.00
Joe Flacco Bal QB,QB,243.14,-28.28
Jace Amaro NYJ TE Q,TE,110.50,-28.40
Alex Smith KC QB,QB,242.10,-29.32
Marcus Mariota Ten QB,QB,241.78,-29.64
Jared Cook StL TE,TE,109.20,-29.70
Jacob Tamme Atl TE,TE,107.90,-31.00
Steve Smith Sr. Bal WR,WR,158.70,-31.00
Pierre Garcon Wsh WR,WR,158.60,-31.10
Michael Crabtree Oak WR,WR,157.80,-31.90
Robert Griffin Wsh QB Q,QB,239.26,-32.16
John Brown Ari WR,WR,157.20,-32.50
James White NE RB,RB,119.00,-38.20
Doug Baldwin Sea WR,WR,148.70,-41.00
Andy Dalton Cin QB,QB,230.16,-41.26
Denard Robinson Jac RB,RB,113.60,-43.60
Terrance Williams Dal WR,WR,145.30,-44.40
Derek Carr Oak QB,QB,227.00,-44.42
Ladarius Green SD TE,TE,94.40,-44.50
Brian Quick StL WR P,WR,144.80,-44.90
Maxx Williams Bal TE,TE,94.00,-44.90
Malcom Floyd SD WR,WR,144.70,-45.00
Tre Mason StL RB,RB,111.60,-45.60
Nate Washington Hou WR,WR,143.60,-46.10
Nick Foles StL QB,QB,225.08,-46.34
Tom Brady NE QB SSPD,QB,224.28,-47.14
Stevie Johnson SD WR,WR,142.40,-47.30
Montee Ball Den RB,RB,108.90,-48.30
Rueben Randle NYG WR P,WR,141.30,-48.40
Blake Bortles Jac QB,QB,222.90,-48.52
Kenny Stills Mia WR,WR,140.10,-49.60
Mychal Rivera Oak TE,TE,89.00,-49.90
Alfred Blue Hou RB,RB,107.10,-50.10
Daniel Herron Ind RB,RB,106.10,-51.10
Brandon Coleman NO WR,WR,137.60,-52.10
Reggie Bush SF RB,RB,105.00,-52.20
Lance Dunbar Dal RB P,RB,102.40,-54.80
Knile Davis KC RB,RB,101.10,-56.10
Lorenzo Taliaferro Bal RB,RB,100.90,-56.30
Darren Sproles Phi RB,RB,100.10,-57.10
Percy Harvin Buf WR P,WR,132.50,-57.20
Rob Housler Cle TE,TE,81.30,-57.60
Dwayne Bowe Cle WR Q,WR,130.90,-58.80
Kenny Britt StL WR,WR,130.80,-58.90
Virgil Green Den TE,TE,79.60,-59.30
Allen Hurns Jac WR,WR,127.10,-62.60
Benjamin Watson NO TE,TE,75.90,-63.00
Clive Walford Oak TE P,TE,74.90,-64.00
Jerick McKinnon Min RB,RB,93.00,-64.20
Matt Jones Wsh RB,RB,91.50,-65.70
Tyler Lockett Sea WR,WR,123.80,-65.90
Dorial Green-Beckham Ten WR,WR,122.60,-67.10
Markus Wheaton Pit WR,WR,122.60,-67.10
Andre Williams NYG RB,RB,88.40,-68.80
Darren McFadden Dal RB,RB,88.10,-69.10
Marvin Jones Cin WR,WR,119.70,-70.00
Dexter McCluster Ten WR RB,RB,86.60,-70.60
Dion Sims Mia TE,TE,68.00,-70.90
Fred Jackson Buf RB,RB,86.10,-71.10
Lance Kendricks StL TE,TE,66.40,-72.50
Terrance West Cle RB,RB,83.80,-73.40
Theo Riddick Det RB,RB,83.60,-73.60
Danny Amendola NE WR,WR,115.30,-74.40
Jermaine Kearse Sea WR,WR,115.10,-74.60
Benjamin Cunningham StL RB,RB,81.50,-75.70
Darren Fells Ari TE,TE,62.80,-76.10
Andrew Hawkins Cle WR,WR,113.30,-76.40
Crockett Gillmore Bal TE,TE,61.70,-77.20
Dennis Pitta* Bal TE O,TE,61.40,-77.50
Donte Moncrief Ind WR P,WR,112.00,-77.70
Leonard Hankerson Atl WR,WR,111.70,-78.00
Jonas Gray NE RB,RB,79.20,-78.00
Brent Celek Phi TE,TE,58.80,-80.10
Bilal Powell NYJ RB,RB,76.80,-80.40
Javorius Allen Bal RB,RB,73.40,-83.80
Mike Tolbert Car RB,RB,73.40,-83.80
Cole Beasley Dal WR,WR,105.20,-84.50
Gavin Escobar Dal TE P,TE,54.00,-84.90
Marcedes Lewis Jac TE,TE,53.10,-85.80
Kamar Aiken Bal WR,WR,103.80,-85.90
Troy Niklas Ari TE,TE,53.00,-85.90
Jeremy Kerley NYJ WR Q,WR,101.30,-88.40
DeAngelo Williams Pit RB,RB,68.50,-88.70
De'Anthony Thomas KC RB WR P,RB,68.20,-89.00
Scott Chandler NE TE P,TE,49.60,-89.30
Robert Woods Buf WR,WR,100.20,-89.50
Marqise Lee Jac WR Q,WR,99.80,-89.90
Cecil Shorts III Hou WR,WR,99.30,-90.40
David Johnson SD TE,TE,47.90,-91.00
Garrett Graham Hou TE,TE,47.70,-91.20
Phillip Dorsett Ind WR,WR,98.20,-91.50
James Starks GB RB,RB,64.30,-92.90
Greg Jennings Mia WR P,WR,94.80,-94.90
Josh McCown Cle QB,QB,176.08,-95.34
Brian Hartline Cle WR,WR,92.60,-97.10
Andrew Quarless GB TE,TE,41.30,-97.60
David Johnson Ari RB P,RB,59.40,-97.80
Chris Johnson Ari RB,RB,59.10,-98.10
Ed Dickson Car TE,TE,38.90,-100.00
Jermaine Gresham Ari TE P,TE,38.60,-100.30
Daniel Fells NYG TE,TE,38.00,-100.90
Tim Wright TB TE,TE,37.80,-101.10
Andre Roberts Wsh WR,WR,88.10,-101.60
Tyler Kroft Cin TE,TE,35.60,-103.30
C.J. Fiedorowicz Hou TE,TE,35.50,-103.40
Toby Gerhart Jac RB,RB,53.40,-103.80
Kevin White* Chi WR O,WR,84.70,-105.00
Robert Turbin Sea RB,RB,51.30,-105.90
MyCole Pruitt Min TE P,TE,31.90,-107.00
Khiry Robinson NO RB,RB,50.10,-107.10
Levine Toilolo Atl TE,TE,31.30,-107.60
Jack Doyle Ind TE,TE,31.20,-107.70
James Casey Den TE,TE,30.50,-108.40
Rod Streater Oak WR,WR,80.90,-108.80
Dri Archer Pit RB,RB,48.30,-108.90
Damien Williams Mia RB,RB,48.20,-109.00
Luke Willson Sea TE,TE,29.50,-109.40
David Cobb Ten RB,RB,47.60,-109.60
Joseph Fauria Det TE P,TE,29.30,-109.60
Brandon Myers TB TE,TE,29.20,-109.70
Cameron Artis-Payne Car RB,RB,47.20,-110.00
Tavon Austin StL WR,WR,79.40,-110.30
Jerricho Cotchery Car WR,WR,78.80,-110.90
James O'Shaughnessy KC TE,TE,28.00,-110.90
Taylor Gabriel Cle WR,WR,78.70,-111.00
Matt Asiata Min RB,RB,46.20,-111.00
Jeff Cumberland NYJ TE,TE,27.90,-111.00
Ryan Griffin Hou TE,TE,27.30,-111.60
Jaelen Strong Hou WR,WR,78.00,-111.70
Jacquizz Rodgers Chi RB,RB,44.00,-113.20
Gary Barnidge Cle TE,TE,25.00,-113.90
Jim Dray Cle TE,TE,25.00,-113.90
Kyle Juszczyk Bal RB,RB,43.20,-114.00
Devin Smith NYJ WR Q,WR,75.50,-114.20
MarQueis Gray Buf TE,TE,24.70,-114.20
Harry Douglas Ten WR,WR,75.10,-114.60
Branden Oliver SD RB,RB,42.00,-115.20
Jarius Wright Min WR,WR,74.20,-115.50
Albert Wilson KC WR,WR,74.10,-115.60
Dante Rosario Chi TE,TE,22.60,-116.30
Marcel Reece Oak RB,RB,39.50,-117.70
Anthony Fasano Ten TE,TE,20.50,-118.40
Craig Stevens Ten TE,TE,20.50,-118.40
Logan Paulsen* Wsh TE IR,TE,20.50,-118.40
Ted Ginn Jr. Car WR,WR,71.10,-118.60
Chris Conley KC WR,WR,70.10,-119.60
Josh Robinson Ind RB,RB,37.60,-119.60
Ryan Fitzpatrick NYJ QB,QB,151.82,-119.60
Jay Ajayi Mia RB,RB,37.00,-120.20
Chris Polk Hou RB,RB,36.80,-120.40
Nick Toon NO WR,WR,67.20,-122.50
Jonathan Grimes Hou RB,RB,34.70,-122.50
Bobby Rainey TB RB,RB,34.30,-122.90
Mohamed Sanu Cin WR,WR,66.30,-123.40
Erik Lorig NO RB,RB,33.40,-123.80
Lee Smith Oak TE,TE,15.10,-123.80
Dexter McCluster Ten WR RB,WR,65.30,-124.40
Cory Harkey StL TE,TE,14.50,-124.40
Vance McDonald SF TE,TE,13.30,-125.60
Blake Bell SF TE,TE,13.10,-125.80
Riley Cooper Phi WR,WR,63.30,-126.40
Stevan Ridley* NYJ RB O,RB,30.30,-126.90
Quinton Patton SF WR,WR,62.40,-127.30
Justin Hunter Ten WR,WR,62.30,-127.40
Brandon Pettigrew Det TE,TE,11.10,-127.80
Brandon Bolden NE RB,RB,29.10,-128.10
Ryan Hewitt Cin TE,TE,10.70,-128.20
Ryan Williams* Dal RB IR,RB,28.80,-128.40
Andre Holmes Oak WR D,WR,60.80,-128.90
Chris Gragg Buf TE,TE,9.00,-129.90
Matt Spaeth Pit TE,TE,8.70,-130.20
Jesse James Pit TE,TE,8.60,-130.30
Michael Hoomanawanui NE TE,TE,8.50,-130.40
Gerald Christian Ari TE,TE,8.50,-130.40
Tony Moeaki Atl TE,TE,8.40,-130.50
Jeff Heuerman* Den TE O,TE,8.40,-130.50
De'Anthony Thomas KC RB WR P,WR,59.10,-130.60
John Phillips SD TE,TE,8.20,-130.70
Zach Sudfeld* NYJ TE IR,TE,8.00,-130.90
Louis Murphy TB WR,WR,58.70,-131.00
Stedman Bailey StL WR,WR,58.70,-131.00
Ronnie Hillman Den RB,RB,26.00,-131.20
Zac Stacy NYJ RB,RB,25.40,-131.80
Luke Stocker TB TE,TE,7.00,-131.90
James Hanna Dal TE Q,TE,6.90,-132.00
Rhett Ellison Min TE,TE,6.90,-132.00
Kellen Davis NYJ TE,TE,6.90,-132.00
Clay Harbor Jac TE,TE,6.90,-132.00
Antone Smith Atl RB P,RB,24.90,-132.30
Christine Michael Sea RB,RB,24.80,-132.40
Marquess Wilson Chi WR,WR,56.90,-132.80
Malcolm Johnson Cle TE Q,TE,6.00,-132.90
Jamison Crowder Wsh WR P,WR,56.30,-133.40
Robert Hughes Ari RB,RB,23.60,-133.60
Juwan Thompson Den RB,RB,23.50,-133.70
Brian Hoyer Hou QB,QB,137.52,-133.90
Bruce Miller SF RB,RB,23.20,-134.00
Ka'Deem Carey Chi RB,RB,22.60,-134.60
Adrien Robinson NYG TE,TE,4.20,-134.70
Arthur Lynch NYJ TE,TE,4.20,-134.70
Kennard Backman GB TE,TE,4.10,-134.80
Bear Pascoe Chi TE,TE,4.10,-134.80
Jeremy Langford Chi RB,RB,22.30,-134.90
Trey Burton Phi TE,TE,4.00,-134.90
Richard Gordon KC TE,TE,4.00,-134.90
Chase Ford Min TE,TE,4.00,-134.90
Nick Boyle Bal TE,TE,4.00,-134.90
C.J. Uzomah Cin TE,TE,4.00,-134.90
Demetrius Harris* KC TE O,TE,3.90,-135.00
Brandon Williams* Car TE O,TE,3.80,-135.10
Taylor Thompson Ten TE P,TE,3.80,-135.10
Rex Burkhead Cin RB,RB,22.00,-135.20
Anthony McCoy Sea TE,TE,2.60,-136.30
Nick O'Leary Buf TE,TE,2.60,-136.30
Karlos Williams Buf RB Q,RB,20.50,-136.70
Justin Perillo GB TE,TE,1.80,-137.10
Marlon Brown Bal WR,WR,52.20,-137.50
Chris Thompson Wsh RB,RB,19.10,-138.10
Fred Davis Wsh TE,TE,0.00,-138.90
Kevin Brock* NO TE IR,TE,0.00,-138.90
Mike Caussin* Wsh TE IR,TE,0.00,-138.90
Gabe Miller Wsh TE,TE,0.00,-138.90
Kyle Miller SD TE,TE,0.00,-138.90
David Paulson SD TE,TE,0.00,-138.90
Matt Veldman Wsh TE,TE,0.00,-138.90
Jake Byrne SD TE,TE,0.00,-138.90
Niles Paul* Wsh TE IR,TE,0.00,-138.90
John Kuhn GB RB,RB,18.00,-139.20
Cordarrelle Patterson Min WR,WR,50.40,-139.30
Darrel Young Wsh RB,RB,17.20,-140.00
Jalston Fowler Ten RB,RB,16.90,-140.30
Fozzy Whittaker Car RB,RB,16.50,-140.70
Matt Cassel Buf QB,QB,129.84,-141.58
Justin Hardy Atl WR,WR,47.80,-141.90
Anthony Sherman KC RB,RB,15.30,-141.90
Corey Brown Car WR,WR,47.60,-142.10
Cyrus Gray KC RB P,RB,14.90,-142.30
Will Johnson Pit RB,RB,14.00,-143.20
Trent Richardson Oak RB,RB,13.80,-143.40
Kendall Hunter SF RB,RB,13.70,-143.50
Collin Mooney Atl RB,RB,13.00,-144.20
Patrick DiMarco Atl RB,RB,12.90,-144.30
Jorvorskie Lane TB RB,RB,12.50,-144.70
Chris Matthews Sea WR Q,WR,44.60,-145.10
LaMichael James Mia RB,RB,12.10,-145.10
Hakeem Nicks Ten WR,WR,44.10,-145.60
Jerome Felton Buf RB,RB,10.70,-146.50
Josh Huff Phi WR,WR,41.40,-148.30
Sammie Coates Pit WR,WR,41.10,-148.60
James Develin NE RB,RB,8.20,-149.00
Rashad Greene Jac WR,WR,39.90,-149.80
Kenny Hilliard Hou RB,RB,6.50,-150.70
Corey Fuller Det WR,WR,38.70,-151.00
Josh Harris Pit RB,RB,6.10,-151.10
Stepfan Taylor Ari RB,RB,6.00,-151.20
Charcandrick West KC RB,RB,5.80,-151.40
Derrick Coleman Sea RB,RB,5.80,-151.40
Edwin Baker NO RB,RB,5.60,-151.60
Marcus Murphy* NO RB O,RB,5.60,-151.60
Vick Ballard Ind RB Q,RB,5.40,-151.80
Kerwynn Williams Ari RB,RB,5.30,-151.90
Donald Brown SD RB P,RB,5.30,-151.90
Michael Burton Det RB,RB,5.10,-152.10
Mike Davis SF RB,RB,5.10,-152.10
Travaris Cadet NE RB P,RB,5.00,-152.20
Tommy Bohanon NYJ RB,RB,4.90,-152.30
Lache Seastrunk Dal RB,RB,4.60,-152.60
Jay Prosch Hou RB,RB,4.40,-152.80
Orson Charles NO RB SSPD,RB,4.30,-152.90
Chase Reynolds StL RB,RB,4.00,-153.20
Jaron Brown Ari WR,WR,35.90,-153.80
Isaiah Pead StL RB,RB,3.40,-153.80
Miles Austin Phi WR,WR,35.00,-154.70
Kenny Bell TB WR,WR,34.90,-154.80
Darrin Reaves KC RB,RB,1.80,-155.40
Boobie Dixon Buf RB P,RB,1.80,-155.40
Shaun Draughn Cle RB P,RB,1.80,-155.40
Jeremy Stewart Den RB,RB,1.80,-155.40
Jordan Todman Car RB,RB,1.70,-155.50
Fitzgerald Toussaint Bal RB,RB,1.70,-155.50
Thomas Rawls Sea RB,RB,1.70,-155.50
Antonio Andrews Ten RB,RB,1.50,-155.70
Mike James TB RB,RB,1.40,-155.80
Storm Johnson Jac RB,RB,1.40,-155.80
Henry Hynoski NYG RB,RB,1.30,-155.90
Matthew Tucker* Phi RB IR,RB,0.90,-156.30
Cedric Peerman Cin RB,RB,0.90,-156.30
Bryce Brown Buf RB P,RB,0.90,-156.30
Kenjon Barner Phi RB,RB,0.90,-156.30
Silas Redd* Wsh RB IR,RB,0.80,-156.40
John Crockett GB RB,RB,0.80,-156.40
Senorise Perry Chi RB,RB,0.70,-156.50
Ahmad Bradshaw Ind RB SSPD,RB,0.00,-157.20
Pierre Thomas NO RB,RB,0.00,-157.20
Felix Jones Pit RB,RB,0.00,-157.20
