Player,Position,Score,Value over Avg,Value over Next
Antonio Brown Pit WR,WR,320.30,125.20,22.10
Eddie Lacy GB RB,RB,282.00,112.70,1.90
Jamaal Charles KC RB,RB,280.10,110.80,4.80
Le'Veon Bell Pit RB SSPD,RB,275.30,106.00,1.10
Adrian Peterson Min RB P,RB,274.20,104.90,5.90
Demaryius Thomas Den WR,WR,298.20,103.10,4.90
Rob Gronkowski NE TE,TE,239.50,99.70,42.70
Matt Forte Chi RB,RB,268.30,99.00,4.90
Julio Jones Atl WR,WR,293.30,98.20,6.60
C.J. Anderson Den RB,RB,263.40,94.10,9.40
Dez Bryant Dal WR P,WR,286.70,91.60,0.40
Odell Beckham Jr. NYG WR P,WR,286.30,91.20,11.00
Marshawn Lynch Sea RB,RB,254.00,84.70,17.80
Calvin Johnson Det WR,WR,275.30,80.20,4.20
A.J. Green Cin WR,WR,271.10,76.00,13.00
Justin Forsett Bal RB,RB,236.20,66.90,1.70
LeSean McCoy Buf RB Q,RB,234.50,65.20,3.70
Randall Cobb GB WR Q,WR,258.10,63.00,0.10
Alshon Jeffery Chi WR Q,WR,258.00,62.90,4.50
Jeremy Hill Cin RB,RB,230.80,61.50,2.20
Lamar Miller Mia RB,RB,228.60,59.30,6.30
T.Y. Hilton Ind WR,WR,253.50,58.40,9.80
Travis Kelce KC TE,TE,196.80,57.00,0.40
Andrew Luck Ind QB,QB,332.62,56.90,2.16
Jimmy Graham Sea TE,TE,196.40,56.60,8.80
Aaron Rodgers GB QB,QB,330.46,54.74,21.40
Arian Foster* Hou RB O,RB,222.30,53.00,3.50
DeMarco Murray Phi RB,RB,218.80,49.50,7.10
Mike Evans TB WR Q,WR,243.70,48.60,7.40
Greg Olsen Car TE,TE,187.60,47.80,13.30
Carlos Hyde SF RB,RB,211.70,42.40,1.00
Mark Ingram NO RB,RB,210.70,41.40,1.00
Julian Edelman NE WR P,WR,236.30,41.20,4.30
Frank Gore Ind RB,RB,209.70,40.40,5.20
Brandin Cooks NO WR,WR,232.00,36.90,1.50
DeAndre Hopkins Hou WR,WR,230.50,35.40,1.50
C.J. Spiller NO RB Q,RB,204.50,35.20,1.10
Julius Thomas Jac TE Q,TE,174.30,34.50,2.50
Giovani Bernard Cin RB,RB,203.40,34.10,0.90
Emmanuel Sanders Den WR P,WR,229.00,33.90,7.50
Russell Wilson Sea QB,QB,309.06,33.34,0.46
Alfred Morris Wsh RB,RB,202.50,33.20,4.30
Drew Brees NO QB,QB,308.60,32.88,9.52
Martellus Bennett Chi TE,TE,171.80,32.00,10.80
Todd Gurley StL RB Q,RB,198.20,28.90,0.90
Latavius Murray Oak RB,RB,197.30,28.00,0.60
Jonathan Stewart Car RB,RB,196.70,27.40,1.00
Golden Tate Det WR,WR,221.50,26.40,2.10
Andre Ellington Ari RB,RB,195.70,26.40,5.80
Keenan Allen SD WR,WR,219.40,24.30,2.20
Peyton Manning Den QB,QB,299.08,23.36,11.36
Jarvis Landry Mia WR,WR,217.20,22.10,0.50
Jordan Matthews Phi WR,WR,216.70,21.60,2.80
Jason Witten Dal TE,TE,161.00,21.20,0.30
Delanie Walker Ten TE,TE,160.70,20.90,13.50
Melvin Gordon SD RB,RB,189.90,20.60,4.20
Brandon Marshall NYJ WR,WR,213.90,18.80,1.00
Allen Robinson Jac WR,WR,212.90,17.80,3.20
Joique Bell* Det RB O,RB,185.70,16.40,0.10
T.J. Yeldon Jac RB P,RB,185.60,16.30,2.30
Amari Cooper Oak WR,WR,209.70,14.60,1.20
Joseph Randle Dal RB,RB,183.30,14.00,8.10
Andre Johnson Ind WR,WR,208.50,13.40,0.90
Sammy Watkins Buf WR P,WR,207.60,12.50,0.90
Ben Roethlisberger Pit QB,QB,287.72,12.00,0.44
Jeremy Maclin KC WR,WR,206.70,11.60,2.30
Matt Ryan Atl QB,QB,287.28,11.56,0.30
Tony Romo Dal QB,QB,286.98,11.26,0.24
Ryan Tannehill Mia QB,QB,286.74,11.02,6.12
Davante Adams GB WR,WR,204.40,9.30,3.20
Zach Ertz Phi TE Q,TE,147.20,7.40,3.80
DeSean Jackson Wsh WR P,WR,201.20,6.10,5.50
Ameer Abdullah Det RB,RB,175.20,5.90,1.20
Cam Newton Car QB,QB,280.62,4.90,0.14
Eli Manning NYG QB,QB,280.48,4.76,4.76
Devonta Freeman Atl RB P,RB,174.00,4.70,4.70
Jordan Cameron Mia TE,TE,143.40,3.60,3.00
Dwayne Allen Ind TE,TE,140.40,0.60,0.60
Eric Decker NYJ WR,WR,195.70,0.60,0.60
Jordan Reed Wsh TE,TE,139.80,0.00,0.90
Vincent Jackson TB WR,WR,195.10,0.00,5.20
Nelson Agholor Phi WR,WR,195.10,0.00,0.00
Chris Ivory NYJ RB,RB,169.30,0.00,3.10
Philip Rivers SD QB P,QB,275.72,0.00,0.34
Matthew Stafford Det QB,QB,275.38,-0.34,11.60
Larry Donnell NYG TE P,TE,138.90,-0.90,2.10
Heath Miller Pit TE,TE,138.90,-0.90,0.00
Tyler Eifert Cin TE,TE,136.80,-3.00,0.80
Tevin Coleman Atl RB P,RB,166.20,-3.10,9.50
Eric Ebron Det TE P,TE,136.00,-3.80,0.30
Owen Daniels Den TE,TE,135.70,-4.10,1.90
Kendall Wright Ten WR,WR,189.90,-5.20,4.90
