Player,Position,Score,Value over Avg,Value over Next
Eddie Lacy GB RB,RB,237.00,69.10,8.80
Antonio Brown Pit WR,WR,205.30,67.80,8.60
Rob Gronkowski NE TE,TE,156.50,64.10,25.10
Adrian Peterson Min RB P,RB,228.20,60.30,3.10
Dez Bryant Dal WR P,WR,196.70,59.20,0.50
Demaryius Thomas Den WR,WR,196.20,58.70,7.90
Jamaal Charles KC RB,RB,225.10,57.20,4.10
Marshawn Lynch Sea RB,RB,221.00,53.10,4.60
Andrew Luck Ind QB,QB,349.62,52.14,11.16
Calvin Johnson Det WR,WR,188.30,50.80,4.00
Julio Jones Atl WR,WR,188.30,50.80,0.00
C.J. Anderson Den RB,RB,216.40,48.50,3.10
Odell Beckham Jr. NYG WR P,WR,184.30,46.80,3.20
Le'Veon Bell Pit RB SSPD,RB,213.30,45.40,4.50
A.J. Green Cin WR,WR,181.10,43.60,11.10
Aaron Rodgers GB QB,QB,338.46,40.98,16.86
Jeremy Hill Cin RB,RB,208.80,40.90,3.30
Jimmy Graham Sea TE,TE,131.40,39.00,11.60
LeSean McCoy Buf RB Q,RB,205.50,37.60,2.20
Matt Forte Chi RB,RB,203.30,35.40,10.50
Alshon Jeffery Chi WR Q,WR,170.00,32.50,0.90
Randall Cobb GB WR Q,WR,169.10,31.60,1.60
T.Y. Hilton Ind WR,WR,167.50,30.00,4.80
Travis Kelce KC TE,TE,119.80,27.40,3.20
Mike Evans TB WR Q,WR,162.70,25.20,11.70
DeMarco Murray Phi RB,RB,192.80,24.90,4.10
Greg Olsen Car TE,TE,116.60,24.20,10.30
Drew Brees NO QB,QB,321.60,24.12,3.54
Carlos Hyde SF RB,RB,188.70,20.80,0.10
Lamar Miller Mia RB,RB,188.60,20.70,4.40
Russell Wilson Sea QB,QB,318.06,20.58,4.98
Justin Forsett Bal RB,RB,184.20,16.30,1.70
Peyton Manning Den QB,QB,313.08,15.60,12.36
Alfred Morris Wsh RB,RB,182.50,14.60,0.80
Julius Thomas Jac TE Q,TE,106.30,13.90,2.50
Mark Ingram NO RB,RB,181.70,13.80,2.40
Emmanuel Sanders Den WR P,WR,151.00,13.50,2.00
Brandin Cooks NO WR,WR,149.00,11.50,1.50
