PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
RNK,PLAYER TEAM POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
75,Khiry Robinson NO RB P,0/0,0,0,0,49,214,2,10,77,0,40.1
76,Robert Turbin Sea RB,0/0,0,0,0,66,267,1,10,82,0,40.1
77,Damien Williams Mia RB,0/0,0,0,0,49,191,1,13,104,0,35.9
78,Toby Gerhart Jac RB P,0/0,0,0,0,28,113,1,17,129,1,35.1
79,Branden Oliver SD RB,0/0,0,0,0,53,215,1,9,71,0,34.1
80,Jonathan Grimes Hou RB,0/0,0,0,0,50,193,1,10,81,0,33.1
81,Javorius Allen Bal RB,0/0,0,0,0,38,162,1,12,100,0,32.1
82,Matt Asiata Min RB,0/0,0,0,0,20,80,1,15,114,1,31.1
83,Jeremy Langford Chi RB,0/0,0,0,0,58,234,1,2,18,0,30.1
84,Jacquizz Rodgers Chi RB,0/0,0,0,0,30,121,1,13,112,0,29.1
85,Jay Ajayi Mia RB P,0/0,0,0,0,37,154,1,9,70,0,28.1
86,Dri Archer Pit RB,0/0,0,0,0,16,63,0,19,159,1,27.1
87,Bobby Rainey TB RB,0/0,0,0,0,34,132,1,8,69,0,25.8
88,Stevan Ridley* NYJ RB O,0/0,0,0,0,45,188,1,1,10,0,25.1
89,Kyle Juszczyk Bal RB,0/0,0,0,0,0,0,0,20,173,1,23.1
90,Marcel Reece Oak RB,0/0,0,0,0,11,36,0,15,149,1,23.1
91,Brandon Bolden NE RB,0/0,0,0,0,28,119,1,6,50,0,22.1
92,Zac Stacy NYJ RB,0/0,0,0,0,32,129,1,3,22,0,20
93,Christine Michael Sea RB,0/0,0,0,0,35,153,1,2,14,0,20
94,Erik Lorig NO RB,0/0,0,0,0,4,13,0,14,121,1,19.1
95,Robert Hughes Ari RB,0/0,0,0,0,31,100,1,4,37,0,19.1
96,Antone Smith Atl RB P,0/0,0,0,0,21,102,1,5,38,0,19.1
97,Ryan Williams* Dal RB IR,0/0,0,0,0,11,44,0,10,84,1,18
98,Karlos Williams Buf RB Q,0/0,0,0,0,28,111,1,2,13,0,18
