Player,Position,Score,Marginal Value
Travis Beckum - NYG,TE,52.27,-32.18
Anthony Fasano - MIA,TE,51.15,-33.30
Ricky Williams - BAL,RB,61.48,-34.31
Visanthe Shiancoe - MIN,TE,50.12,-34.33
Jacoby Ford - OAK,WR,71.53,-34.41
Johnny Knox - CHI,WR,71.39,-34.54
C.J. Spiller - BUF,RB,60.64,-35.15
Jordy Nelson - GB,WR,70.36,-35.58
Mike Williams - SEA,WR,70.13,-35.81
Maurice Morris - DET,RB,59.55,-36.24
Ed Dickson - BAL,TE,47.87,-36.58
Thomas Jones - KC,RB,58.53,-37.26
Jason Snelling - ATL,RB,58.40,-37.38
Mark Sanchez - NYJ,QB,182.38,-37.48
Jerome Simpson - CIN,WR,68.05,-37.89
Lance Kendricks - STL,TE,46.34,-38.11
Donald Driver - GB,WR,67.68,-38.25
Tashard Choice - DAL,RB,57.06,-38.73
Roy Williams - CHI,WR,66.38,-39.55
Jacoby Jones - HOU,WR,66.17,-39.77
Brandon Gibson - STL,WR,66.05,-39.88
Matt Cassel - KC,QB,179.97,-39.89
Antonio Brown - PIT,WR,65.91,-40.02
Derrick Mason - NYJ,WR,65.89,-40.04
Cadillac Williams - STL,RB,54.00,-41.78
Jordan Shipley - CIN,WR,64.10,-41.84
Ryan Torain - WAS,RB,53.91,-41.88
Nate Washington - TEN,WR,62.96,-42.97
Kevin Walter - HOU,WR,62.14,-43.79
Fred Davis - WAS,TE,39.88,-44.57
LaRod Stephens-Howling - ARI,RB,51.07,-44.72
Ronnie Brown - PHI,RB,51.06,-44.72
Jeremy Shockey - CAR,TE,39.69,-44.76
Colt McCoy - CLE,QB,175.09,-44.77
Javon Ringer - TEN,RB,50.75,-45.03
Greg Little - CLE,WR,60.86,-45.08
Devin Hester - CHI,WR,60.63,-45.31
Justin Forsett - SEA,RB,50.34,-45.45
Steve Breaston - KC,WR,60.17,-45.77
Earl Bennett - CHI,WR,59.82,-46.12
Isaac Redman - PIT,RB,49.40,-46.39
Marion Barber - CHI,RB,49.35,-46.43
Ryan Fitzpatrick - BUF,QB,172.53,-47.33
Tony Scheffler - DET,TE,36.99,-47.46
