Quarterbacks 2011 Standard Stats -- Average
Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Matt Flynn - GB,15.7,9.2,98.3,0.4,0.4,58.6,6.3,3.0,4.0,1.3,0.0,0.0,3.6
Chris Redman - ATL,15.7,9.0,100.0,0.4,0.4,57.3,6.4,0.7,0.3,0.4,0.0,0.0,3.6
Billy Volek - SD,5.3,3.4,39.7,0.4,0.0,64.2,7.5,1.7,-1.3,-0.8,0.0,0.0,3.4
Brian Hoyer - NE,8.7,5.0,57.3,0.3,0.0,57.5,6.6,3.3,2.7,0.8,0.0,0.0,2.8
Matt Leinart - HOU,13.6,8.6,95.3,0.4,0.4,63.2,7.0,1.4,0.0,0.0,0.0,0.0,2.6
Caleb Hanie - CHI,13.1,7.9,71.7,0.1,0.1,60.3,5.5,0.7,1.0,1.4,0.0,0.0,1.4
Tyler Palko - KC,9.7,5.6,65.0,0.1,0.4,57.7,6.7,0.4,0.7,1.7,0.0,0.0,0.8
Chase Daniel - NO,2.6,1.7,17.0,0.1,0.0,65.4,6.5,0.3,2.7,9.0,0.0,0.0,0.6
Ryan Mallett - NE,2.1,1.3,13.7,0.1,0.1,61.9,6.5,0.0,0.3,3.3,0.0,0.0,0.4
Curtis Painter - IND,1.0,0.6,6.7,0.0,0.0,60.0,6.7,0.0,0.0,1.3,0.0,0.0,0.0
Tyrod Taylor - BAL,1.8,1.0,9.7,0.0,0.0,55.6,5.4,0.1,0.3,3.0,0.0,0.0,0.0
Greg McElroy - NYJ,1.7,0.8,9.3,0.0,0.0,47.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0
Kevin O'Connell - NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.3,-1.0,0.0,0.0,0.0
Brady Quinn - DEN,1.5,0.8,8.3,0.0,0.0,53.3,5.5,0.2,1.0,5.0,0.0,0.0,0.0
Sage Rosenfels - NYG,1.7,0.7,8.3,0.0,0.0,41.2,4.9,0.0,0.0,-10.2,0.0,0.0,0.0
Mark Brunell - NYJ,0.7,0.3,2.7,0.0,0.0,42.9,3.9,0.3,0.3,1.0,0.0,0.0,0.0
Brian Brohm - BUF,1.6,0.7,7.3,0.0,0.1,43.7,4.6,0.0,0.0,0.0,0.0,0.0,-0.2
Ricky Stanzi - KC,1.7,0.9,10.0,0.0,0.1,52.9,5.9,0.0,0.0,0.0,0.0,0.0,-0.2
Josh Johnson - TB,1.5,0.9,9.7,0.0,0.1,60.0,6.5,0.1,0.7,7.0,0.0,0.0,-0.2
Dan LeFevour - CIN,1.8,1.0,12.0,0.0,0.1,55.6,6.7,0.1,0.3,3.0,0.0,0.0,-0.2

