Player,Position,Score,Marginal Value
Donald Driver - GB,WR,143.87,-42.90
Jason Snelling - ATL,RB,121.84,-43.09
Roy Williams - CHI,WR,142.10,-44.67
Jerome Simpson - CIN,WR,141.37,-45.40
Jason Campbell - OAK,QB,203.82,-45.52
Kevin Boss - OAK,TE,104.70,-45.57
Anthony Fasano - MIA,TE,104.53,-45.74
Mike Sims-Walker - STL,WR,140.77,-46.00
Jordy Nelson - GB,WR,140.57,-46.20
Brandon Gibson - STL,WR,139.93,-46.84
Ryan Fitzpatrick - BUF,QB,201.63,-47.71
Kyle Orton - DEN,QB,200.79,-48.55
Jacoby Ford - OAK,WR,138.10,-48.67
Evan Moore - CLE,TE,100.83,-49.44
Jacoby Jones - HOU,WR,137.03,-49.74
Johnny Knox - CHI,WR,136.73,-50.04
Cam Newton - CAR,QB,198.85,-50.49
Tashard Choice - DAL,RB,113.77,-51.16
Travis Beckum - NYG,TE,98.67,-51.60
Ricky Williams - BAL,RB,110.54,-54.39
Nate Washington - TEN,WR,131.33,-55.44
Derrick Mason - NYJ,WR,131.23,-55.54
Cadillac Williams - STL,RB,109.07,-55.86
Kevin Walter - HOU,WR,130.83,-55.94
Steve Breaston - KC,WR,130.30,-56.47
Chad Henne - MIA,QB,191.68,-57.66
Maurice Morris - DET,RB,106.87,-58.06
Antonio Brown - PIT,WR,128.57,-58.20
Thomas Jones - KC,RB,106.66,-58.27
Ed Dickson - BAL,TE,91.63,-58.64
Jordan Shipley - CIN,WR,127.83,-58.94
LaRod Stephens-Howling - ARI,RB,105.56,-59.37
Lance Kendricks - STL,TE,89.17,-61.10
James Jones - GB,WR,124.57,-62.20
Devin Hester - CHI,WR,123.83,-62.94
Alex Smith - SF,QB,186.36,-62.98
Matt Hasselbeck - TEN,QB,186.26,-63.08
Ronnie Brown - PHI,RB,101.07,-63.86
Donovan McNabb - MIN,QB,184.23,-65.11
Justin Forsett - SEA,RB,99.63,-65.30
Tony Scheffler - DET,TE,84.03,-66.24
Rex Grossman - WAS,QB,182.54,-66.80
Greg Little - CLE,WR,118.97,-67.80
Earl Bennett - CHI,WR,118.80,-67.97
Jeremy Shockey - CAR,TE,82.17,-68.10
Fred Davis - WAS,TE,82.03,-68.24
Eddie Royal - DEN,WR,117.73,-69.04
Marion Barber - CHI,RB,95.60,-69.33
DeMarco Murray - DAL,RB,94.50,-70.43
Kendall Hunter - SF,RB,94.17,-70.76
Ryan Torain - WAS,RB,93.30,-71.63
Brian Robiskie - CLE,WR,111.43,-75.34
Isaac Redman - PIT,RB,88.10,-76.83
Arrelious Benn - TB,WR,109.13,-77.64
Jabar Gaffney - WAS,WR,108.27,-78.50
Ben Tate - HOU,RB,85.67,-79.26
Toby Gerhart - MIN,RB,83.76,-81.17
Mike Goodson - CAR,RB,83.44,-81.49
Joel Dreessen - HOU,TE,68.20,-82.07
Jacquizz Rodgers - ATL,RB,81.57,-83.36
Deji Karim - JAC,RB,81.30,-83.63
Andy Dalton - CIN,QB,165.12,-84.22
Anthony Armstrong - WAS,WR,102.40,-84.37
Patrick Crayton - SD,WR,102.17,-84.60
Early Doucet - ARI,WR,101.83,-84.94
Brian Hartline - MIA,WR,100.73,-86.04
Bernard Berrian - MIN,WR,100.47,-86.30
Tarvaris Jackson - SEA,QB,162.76,-86.58
Jason Hill - JAC,WR,100.17,-86.60
Roy Helu - WAS,RB,77.86,-87.07
Montario Hardesty - CLE,RB,77.66,-87.27
Michael Hoomanawanui - STL,TE,62.80,-87.47
Javon Ringer - TEN,RB,77.10,-87.83
Donald Brown - IND,RB,77.03,-87.90
Steve Smith - PHI,WR,98.40,-88.37
Daniel Fells - DEN,TE,61.13,-89.14
Denarius Moore - OAK,WR,97.63,-89.14
Stevan Ridley - NE,RB,74.67,-90.26
Jason Avant - PHI,WR,96.43,-90.34
Emmanuel Sanders - PIT,WR,95.30,-91.47
Delone Carter - IND,RB,73.20,-91.73
Josh Morgan - SF,WR,94.87,-91.90
Bernard Scott - CIN,RB,72.76,-92.17
Rob Housler - ARI,TE,58.07,-92.20
David Thomas - NO,TE,57.20,-93.07
Andre Roberts - ARI,WR,92.80,-93.97
Devery Henderson - NO,WR,92.53,-94.24
Brandon LaFell - CAR,WR,92.37,-94.40
Louis Murphy - OAK,WR,91.90,-94.87
Roscoe Parrish - BUF,WR,91.87,-94.90
Jerome Harrison - DET,RB,69.47,-95.46
Mohamed Massaquoi - CLE,WR,91.23,-95.54
Leon Washington - SEA,RB,69.26,-95.67
Zach Miller - JAC,TE,53.90,-96.37
Chester Taylor - ARI,RB,66.17,-98.76
Dennis Pitta - BAL,TE,49.93,-100.34
Earnest Graham - TB,RB,64.00,-100.93
Eric Decker - DEN,WR,83.03,-103.74
Kyle Rudolph - MIN,TE,46.40,-103.87
Jacob Tamme - IND,TE,46.27,-104.00
Michael Jenkins - MIN,WR,82.53,-104.24
Julius Thomas - DEN,TE,44.23,-106.04
Dezmon Briscoe - TB,WR,80.70,-106.07
Kellen Davis - CHI,TE,43.97,-106.30
Martellus Bennett - DAL,TE,43.60,-106.67
Leonard Pope - KC,TE,43.50,-106.77
Jamie Harper - TEN,RB,55.80,-109.13
Taiwan Jones - OAK,RB,55.54,-109.39
Andrew Quarless - GB,TE,40.17,-110.10
Scott Chandler - BUF,TE,40.00,-110.27
Jerricho Cotchery - PIT,WR,76.47,-110.30
Derrick Ward - HOU,RB,53.80,-111.13
Randy McMichael - SD,TE,39.13,-111.14
Joe McKnight - NYJ,RB,53.76,-111.17
Golden Tate - SEA,WR,74.97,-111.80
Shane Vereen - NE,RB,52.20,-112.73
Danario Alexander - STL,WR,73.73,-113.04
Le'Ron McClain - KC,RB,51.83,-113.10
Marcel Reece - OAK,RB,51.74,-113.19
Delanie Walker - SF,TE,36.63,-113.64
John Kuhn - GB,RB,51.07,-113.86
Mewelde Moore - PIT,RB,49.50,-115.43
Armond Smith - CLE,RB,49.04,-115.89
Dexter McCluster - KC,WR,70.70,-116.07
Marcus Easley - BUF,WR,70.30,-116.47
Torrey Smith - BAL,WR,70.30,-116.47
Donald Jones - BUF,WR,70.13,-116.64
Mark Clayton - STL,WR,69.07,-117.70
Anthony Dixon - SF,RB,46.93,-118.00
Jordan Todman - SD,RB,45.94,-118.99
Darrius Heyward-Bey - OAK,WR,67.63,-119.14
Sammie Stroughter - TB,WR,65.93,-120.84
Matt Spaeth - CHI,TE,28.87,-121.40
Jeff King - ARI,TE,28.70,-121.57
Luke Stocker - TB,TE,28.33,-121.94
Titus Young - DET,WR,64.57,-122.20
Josh Cribbs - CLE,WR,64.57,-122.20
Harry Douglas - ATL,WR,64.20,-122.57
Craig Stevens - TEN,TE,27.47,-122.80
Jon Baldwin - KC,WR,61.77,-125.00
