Wide Receivers 2011 Standard Stats -- Average
Player,Recpt,Yd,Avg,TD,FL,FPTS
Preston Parker - TB,2.7,28.0,10.4,0.0,0.0,1.0
Kyle Williams - SF,2.3,27.0,11.7,0.0,0.0,1.0
Marc Mariani - TEN,6.0,70.3,11.7,0.0,1.3,0.4
David Clowney - CAR,0.3,4.0,13.3,0.0,0.0,0.0
Jeremy Horne - KC,0.6,6.7,11.2,0.0,0.0,0.0
Carlton Mitchell - CLE,1.1,12.7,11.5,0.0,0.0,0.0
Dorin Dickerson - HOU,0.8,9.0,11.2,0.0,0.0,0.0
Ruvell Martin - BUF,0.6,11.0,18.3,0.0,0.0,0.0
Quan Cosby - CIN,1.4,15.3,10.9,0.1,0.3,0.0
Ronald Johnson - SF,0.7,7.7,11.0,0.0,0.0,0.0
Roydell Williams - WAS,0.9,12.0,13.3,0.0,0.0,0.0
Brandon Banks - WAS,2.3,33.3,14.5,0.0,0.6,-0.2
Tiquan Underwood - NE,0.6,7.7,12.8,0.0,0.1,-0.2
Nick Miller - OAK,1.3,11.3,8.7,0.0,0.9,-1.8
Armanti Edwards - CAR,5.6,59.0,10.5,0.0,3.5,-4.0

