PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
RNK,PLAYER TEAM POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
1,Cam Newton Car QB,304.9/527.4,3798.3,28.1,13.2,125.1,679.6,5.6,0,0,0,333.7
2,Aaron Rodgers GB QB P,354.8/561.3,4213.2,32.4,7.6,51.2,238.2,1.5,0,0,0,310
3,Russell Wilson Sea QB,299.9/477.1,3738.4,29.8,10.1,95.5,494.6,2.6,0,0,0,307.4
4,Andrew Luck Ind QB,357.1/616.2,4275.9,32.5,19,64.8,265.1,1.7,0,0,0,294.6
5,Drew Brees NO QB,440.7/658,4782.7,31.3,15.5,21.7,35.1,0.9,0,0,0,290.9
6,Ben Roethlisberger Pit QB,377.5/574.3,4543.5,28.4,12.7,27.8,66.6,0.7,0,0,0,281.6
7,Carson Palmer Ari QB,346.4/568.8,4338.5,29.5,16.5,24.6,48.6,1,0,0,0,262.9
8,Tom Brady NE QB SSPD,303.8/478.4,3378,25.3,7,27.4,21.6,1.5,0,0,0,231.4
9,Eli Manning NYG QB,381.4/609.7,4547.3,30.8,15.3,20.8,37.7,0.4,0,0,0,271.9
10,Blake Bortles Jax QB,326.8/576.6,3898.9,27.8,15.9,50.5,261,1.3,0,0,0,258.3
11,Philip Rivers SD QB,405.2/617.2,4497.5,28.2,15,23,61.2,0.5,0,0,0,267.1
12,Tyrod Taylor Buf QB,274.5/452.1,3243.5,21.2,12,112,576.8,4.5,0,0,0,266.3
13,Kirk Cousins Wsh QB,390.5/601.9,4551.7,29.6,13.3,37.9,117.2,1.3,0,0,0,283.4
14,Derek Carr Oak QB,349.8/585.2,3794.1,31,13.2,30.6,81.8,0.7,0,0,0,253
15,Marcus Mariota Ten QB,295.9/469.1,3414.9,19.2,12.7,70.3,355.3,2.6,0,0,0,227.2
16,Matthew Stafford Det QB,412.7/634.9,4655.3,25.1,13.7,39.6,135.9,1.9,0,0,0,280.2
17,Andy Dalton Cin QB,324.5/514.3,3808.1,25.5,12.9,62.9,232.8,2.7,0,0,0,264.2
18,Jameis Winston TB QB,315.1/545.8,3767.4,25,15.3,59.3,258.9,2.6,0,0,0,255.9
19,Ryan Fitzpatrick NYJ QB,338/553,3880.2,25.7,15.4,56.8,249.2,2,0,0,0,258.9
20,Ryan Tannehill Mia QB,375/607.4,4260.8,23.7,12.3,34.4,130.8,1,0,0,0,251.4
21,Matt Ryan Atl QB,410.4/620.5,4511.3,22.1,16.4,30.8,95.3,0.8,0,0,0,241.7
22,Brock Osweiler Hou QB,343.1/555.4,4059.4,24.4,14.8,50.7,123.1,1.5,0,0,0,245.4
23,Joe Flacco Bal QB P,375.8/626.1,4222.5,25.5,16.2,27.1,46.3,1.2,0,0,0,242.7
24,Jay Cutler Chi QB,320.6/499.3,3796.1,22,14,38.6,137.7,0.9,0,0,0,223.3
25,Robert Griffin Cle QB,270.1/429.2,3216.8,16.7,10.8,64.2,385,1.7,0,0,0,209.2
26,Teddy Bridgewater Min QB P,312.5/484.4,3480.6,19.1,10.5,46.5,215.3,2.3,0,0,0,224.2
27,Alex Smith KC QB,326.5/502.5,3668.7,19.3,7.5,69.3,398,2.5,0,0,0,259.5
28,Dak Prescott Dal QB,125.2/202.8,1474.5,9.9,5.9,26.4,133.3,0.9,0,0,0,101.7
29,Sam Bradford Phi QB,279.9/448.1,3099.6,16.7,10.1,23.3,60.5,0.9,0,0,0,174.5
30,Trevor Siemian Den QB P,194.8/346.8,2196.6,12.3,14.2,24.8,101.5,1,0,0,0,120.4
31,Blaine Gabbert SF QB,246.9/410.4,2797.8,13.7,13,40.2,139.2,1,0,0,0,152.6
32,Tony Romo* Dal QB O,215.7/322.1,2566,17.1,7.3,16,34.5,0.4,0,0,0,159.7
33,Case Keenum LA QB,75.7/129.6,835.5,3.4,3.8,29.2,98.4,1.3,0,0,0,53
34,Jimmy Garoppolo NE QB,93.5/151.5,1023.9,7.3,3.7,15.4,62.1,0.5,0,0,0,69.9
35,Colin Kaepernick SF QB,81.5/142.1,940.3,4.8,3,24.8,138.9,0.6,0,0,0,64.2
36,Jared Goff LA QB,220.4/374.9,2486.1,10.4,11,10.3,40.7,0.4,0,0,0,121
37,Paxton Lynch Den QB,59/105.6,659.8,3.5,3.4,8.5,33.6,0.3,0,0,0,36.8
38,Josh McCown Cle QB,41.4/71.1,497.5,2.7,1.7,5.7,24.3,0.2,0,0,0,27.8
39,Mark Sanchez Den QB,62.2/105.2,737.4,3.7,3.8,7.2,28.6,0.3,0,0,0,38.5
40,Brian Hoyer Chi QB P,22/38.3,284.3,1.5,1.2,0.6,2.5,0,0,0,0,14.4
