PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
RNK,PLAYER TEAM POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
1,Rob Gronkowski NE TE,0/0,0,0,0,0,0,0,77.7,1141.1,9.4,171
2,Jordan Reed Wsh TE P,0/0,0,0,0,0,0,0,90.4,936.5,8.5,142.3
3,Greg Olsen Car TE P,0/0,0,0,0,0,0,0,75.7,962.4,6.4,134.3
4,Delanie Walker Ten TE,0/0,0,0,0,0,0,0,70.2,865.2,5.8,120.7
5,Travis Kelce KC TE,0/0,0,0,0,0,0,0,80.9,881.6,5,116.1
6,Coby Fleener NO TE,0/0,0,0,0,0,0,0,69.9,804.5,6.7,120.3
7,Tyler Eifert* Cin TE O,0/0,0,0,0,0,0,0,50.1,572.9,4.9,86.5
8,Gary Barnidge Cle TE,0/0,0,0,0,0,0,0,66.5,839.3,5.5,115.6
9,Zach Ertz Phi TE,0/0,0,0,0,0,0,0,72.3,850,5.4,117
10,Antonio Gates SD TE,0/0,0,0,0,0,0,0,60.9,704.8,5.8,105.3
11,Julius Thomas Jax TE,0/0,0,0,0,0,0,0,62.7,670.8,6.3,104.8
12,Zach Miller Chi TE P,0/0,0,0,0,0,0,0,64.3,698,4.6,96.3
13,Martellus Bennett NE TE,0/0,0,0,0,0,0,0,61.1,604.2,6.2,95.8
14,Jimmy Graham Sea TE Q,0/0,0,0,0,0,0,0,48.5,589.8,6.5,97.1
15,Eric Ebron Det TE Q,0/0,0,0,0,0,0,0,58.8,645.6,4.5,90.8
16,Jason Witten Dal TE,0/0,0,0,0,0,0,0,71.8,758.5,5.1,105.5
17,Dwayne Allen Ind TE,0/0,0,0,0,0,0,0,49.8,547.4,5.4,86.1
18,Charles Clay Buf TE,0/0,0,0,0,0,0,0,57.6,615.1,4.4,87.3
19,Clive Walford Oak TE P,0/0,0,0,0,0,0,0,50.1,552.7,5.9,90.1
20,Ladarius Green* Pit TE O,0/0,0,0,0,0,0,0,34.8,448.9,3.4,64.8
21,Jordan Cameron Mia TE,0/0,0,0,0,0,0,0,45.2,546.6,3.9,77.1
22,Jared Cook GB TE,0/0,0,0,0,0,0,0,47.9,600.1,5.3,91.5
23,Austin Seferian-Jenkins TB TE,0/0,0,0,0,0,0,0,37.5,466.5,3.8,68.5
24,Maxx Williams Bal TE P,0/0,0,0,0,0,0,0,51,481,4,71.9
25,Kyle Rudolph Min TE,0/0,0,0,0,0,0,0,48.9,511.3,4.1,75.7
26,Will Tye NYG TE,0/0,0,0,0,0,0,0,35.8,365.8,3.6,57.7
27,Virgil Green Den TE,0/0,0,0,0,0,0,0,45.7,401.3,3.1,58.6
28,Vance McDonald SF TE,0/0,0,0,0,0,0,0,41.5,494.7,3,66.7
29,Jesse James Pit TE,0/0,0,0,0,0,0,0,22.3,231,2.2,36.6
30,Jace Amaro NYJ TE Q,0/0,0,0,0,0,0,0,32.9,333.2,3,51.1
31,Cameron Brate TB TE,0/0,0,0,0,0,0,0,21.9,245.6,2.1,36.5
32,Hunter Henry SD TE,0/0,0,0,0,0,0,0,24.6,263.9,2.2,38.8
33,Richard Rodgers GB TE,0/0,0,0,0,0,0,0,18.8,189.6,2.1,30.3
34,Lance Kendricks LA TE,0/0,0,0,0,0,0,0,28.5,295.8,1.5,38.1
35,Tyler Higbee LA TE,0/0,0,0,0,0,0,0,26.8,318.3,1.7,40.9
36,Jacob Tamme Atl TE,0/0,0,0,0,0,0,0,43,437.6,2.4,57.4
37,Austin Hooper Atl TE,0/0,0,0,0,0,0,0,28,304.8,2.1,42.5
38,Kellen Winslow NYJ TE,--/--,--,--,--,--,--,--,--,--,--,--
39,Alex Smith Wsh TE,--/--,--,--,--,--,--,--,--,--,--,--
40,Vernon Davis Wsh TE,0/0,0,0,0,0,0,0,7.7,84.7,0.8,12.5
