PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
RNK,PLAYER TEAM POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
64,Jaelen Strong Hou WR,0/0,0,0,0,0,0,0,31.8,378,2.8,53.7
65,Nelson Agholor Phi WR,0/0,0,0,0,0,0,0,37.3,460.6,2.6,61.7
66,Dorial Green-Beckham Phi WR,0/0,0,0,0,1.8,11.6,0.1,24.3,347.9,2.3,49.1
67,Breshad Perriman Bal WR Q,0/0,0,0,0,0,0,0,28.8,417.3,2.6,56.5
68,Pierre Garcon Wsh WR,0/0,0,0,0,0,0,0,60.7,721.3,4.7,100.6
69,Anquan Boldin Det WR,0/0,0,0,0,0,0,0,45.2,595.4,2.9,75.9
70,Terrance Williams Dal WR,0/0,0,0,0,0,0,0,43.5,718.3,4.9,100.6
71,Jamison Crowder Wsh WR,0/0,0,0,0,1.9,12.1,0,51.7,488,3.1,68.8
72,Kenny Britt LA WR,0/0,0,0,0,0,0,0,45.7,750.2,3.4,95.2
73,Tajae Sharpe Ten WR P,0/0,0,0,0,0,0,0,44.6,559.6,2.7,71.1
74,Chris Conley KC WR,0/0,0,0,0,0,0,0,41,455.4,2.9,61.9
75,Davante Adams GB WR,0/0,0,0,0,0,0,0,39.3,450.9,4,68.8
76,Ted Ginn Jr. Car WR,0/0,0,0,0,4.7,29.7,0.1,33.9,504.5,3.1,73.5
77,Kendall Wright Ten WR P,0/0,0,0,0,4.5,28.6,0.1,38.7,477.4,2,61.6
78,Jermaine Kearse Sea WR,0/0,0,0,0,0,0,0,36.1,531,4.6,80.7
79,Victor Cruz NYG WR Q,0/0,0,0,0,0,0,0,16.2,227.2,1.3,30
80,Malcolm Mitchell NE WR Q,0/0,0,0,0,0,0,0,17.9,232.8,1.5,32.1
81,Terrelle Pryor Cle WR,0/0,0,0,0,3.9,24.8,0.1,19.7,272.4,1.7,39.7
82,Marqise Lee Jax WR,0/0,0,0,0,7.2,45.9,0.2,29.2,323.8,2.3,51
83,Tyrell Williams SD WR P,0/0,0,0,0,0,0,0,25.8,335.2,2.3,47
84,Charles Johnson Min WR,0/0,0,0,0,0,0,0,30.4,435.6,2.5,57.8
85,Albert Wilson KC WR,0/0,0,0,0,3.8,24,0.2,29.5,366.3,1.8,49.6
86,Leonte Carroo Mia WR,0/0,0,0,0,0,0,0,24.8,351.2,1.9,46
87,Justin Hardy Atl WR,0/0,0,0,0,0,0,0,35.1,333,2,44.7
88,Robert Woods Buf WR,0/0,0,0,0,2.3,14.2,0.1,47,553.4,3.8,78.7
89,Kenny Stills Mia WR,0/0,0,0,0,0,0,0,34.1,506.3,2.3,63.8
90,J.J. Nelson Ari WR,0/0,0,0,0,2.1,12.9,0.1,17.1,323.4,1.8,45.3
91,Braxton Miller Hou WR,0/0,0,0,0,8.6,54.6,0.2,43.3,469.3,2.3,65.5
92,Brandon LaFell Cin WR Q,0/0,0,0,0,0,0,0,30.9,405.8,2.4,54.2
93,Rashard Higgins Cle WR,0/0,0,0,0,0,0,0,8.8,111.5,0.6,14.7
94,Quinton Patton SF WR,0/0,0,0,0,0,0,0,38.5,433.5,2.2,56.2
95,Cole Beasley Dal WR,0/0,0,0,0,0,0,0,50.3,506.1,3,67.1
96,Seth Roberts Oak WR,0/0,0,0,0,0,0,0,37.3,435.1,3.7,64.7
97,Ty Montgomery GB WR,0/0,0,0,0,8,51,0.2,21.6,197.3,1.5,34.5
98,Danny Amendola* NE WR O,0/0,0,0,0,2,12.1,0.1,10.5,136.2,1,20.9
99,Eddie Royal Chi WR P,0/0,0,0,0,2.2,13.9,0.1,37.5,401.5,2.3,55.5
100,Andrew Hawkins Cle WR,0/0,0,0,0,2,12.4,0,27.9,315,1.3,39.8
101,Jeff Janis* GB WR O,0/0,0,0,0,0,0,0,6.4,84.2,0.7,12.7
102,Rueben Randle Phi WR,0/0,0,0,0,0,0,0,3.2,41.8,0.2,5.4
103,Devin Smith* NYJ WR O,0/0,0,0,0,0,0,0,8.9,118.1,0.8,15.7
104,Andre Johnson Ten WR,0/0,0,0,0,0,0,0,16.8,212.4,1.4,29.1
105,Jerricho Cotchery Car WR,--/--,--,--,--,--,--,--,--,--,--,--
106,Wes Welker LA WR,--/--,--,--,--,--,--,--,--,--,--,--
107,Roddy White Atl WR,--/--,--,--,--,--,--,--,--,--,--,--
108,Joshua Cribbs Ind WR,--/--,--,--,--,--,--,--,--,--,--,--
109,Nate Washington NE WR,0/0,0,0,0,0,0,0,0,0,0,0
110,Lance Moore Atl WR,--/--,--,--,--,--,--,--,--,--,--,--
111,Greg Jennings Mia WR,--/--,--,--,--,--,--,--,--,--,--,--
112,Devin Hester Atl WR P,0/0,0,0,0,0,0,0,0,0,0,4.7
113,Derek Hagan Ten WR,--/--,--,--,--,--,--,--,--,--,--,--
114,Jason Avant KC WR,--/--,--,--,--,--,--,--,--,--,--,--
115,Marques Colston NO WR Q,--/--,--,--,--,--,--,--,--,--,--,--
116,Miles Austin Phi WR,--/--,--,--,--,--,--,--,--,--,--,--
117,Calvin Johnson Det WR,--/--,--,--,--,--,--,--,--,--,--,--
118,Dwayne Bowe Cle WR,--/--,--,--,--,--,--,--,--,--,--,--
119,Jacoby Jones Pit WR,--/--,--,--,--,--,--,--,--,--,--,--
120,James Jones SD WR,0/0,0,0,0,0,0,0,14.9,199.5,1.3,26.5
