PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
41,Isaiah Crowell Cle RB,0/0,0,0,0,181.1,734.7,4.7,15.8,120.4,0.5,115.8
42,James Starks GB RB,0/0,0,0,0,120.7,514.4,2.7,20.7,159.6,0.8,84
43,LeGarrette Blount NE RB,0/0,0,0,0,194.8,835.5,6.1,4.5,33.3,0.2,122
44,Tevin Coleman Atl RB,0/0,0,0,0,123.8,519.4,3.9,23.5,170.5,0.6,92.4
45,Devontae Booker Den RB,0/0,0,0,0,140.1,580.4,4.6,22.6,177.6,0.6,104.4
46,Darren Sproles Phi RB,0/0,0,0,0,71.8,326.5,2.4,52.2,432,1.4,101.1
47,James White NE RB,0/0,0,0,0,31,126.4,1,32.4,300.6,1.2,54.6
48,Jerick McKinnon Min RB,0/0,0,0,0,77.2,350.3,2.2,36.3,275.1,1,79.7
49,Christine Michael Sea RB,0/0,0,0,0,117.7,494.4,2.8,10.5,79,0.4,75.2
50,DeAndre Washington Oak RB,0/0,0,0,0,79.7,318.8,1.5,22.6,188.5,0.9,62.4
51,Shane Vereen NYG RB,0/0,0,0,0,60.9,264.7,1.6,50.8,451.6,2.8,97
52,Spencer Ware KC RB,0/0,0,0,0,80.6,353,4,5.6,41.2,0.1,63.2
53,Javorius Allen Bal RB,0/0,0,0,0,70.6,289.2,2.1,26.7,210.4,0.8,65.5
54,Terrance West Bal RB,0/0,0,0,0,105.9,431,3,8.8,65.8,0.2,65.3
55,C.J. Prosise Sea RB,0/0,0,0,0,59,244.1,1.6,29.4,242,1.2,63.7
56,Chris Johnson Ari RB,0/0,0,0,0,100.4,425.9,2.7,2.1,15.4,0.1,58.6
57,Jordan Howard Chi RB,0/0,0,0,0,75.9,305.7,2.7,5.9,44.4,0.2,50
58,Alfred Morris Dal RB,0/0,0,0,0,91.3,382.9,2.4,3.9,29.4,0.1,55
59,Tim Hightower NO RB,0/0,0,0,0,82.1,320.8,3.1,10,73.3,0.3,58.4
60,Wendell Smallwood Phi RB P,0/0,0,0,0,41.2,166.5,1.3,4.2,31.1,0.1,26.8
61,Paul Perkins NYG RB,0/0,0,0,0,64.9,274,1.7,4.4,33.5,0.2,40.2
62,Kenneth Dixon Bal RB,0/0,0,0,0,47,200.8,1.2,13.3,98.6,0.4,37.9
63,Reggie Bush Buf RB,0/0,0,0,0,69,291.4,1.8,16.1,119.8,0.6,55.2
64,Dion Lewis* NE RB O,0/0,0,0,0,61.1,245.7,1.9,33.5,296.2,1.2,69.9
65,Charcandrick West KC RB P,0/0,0,0,0,42.2,168.9,2,9.3,68.6,0.2,35.1
66,Shaun Draughn SF RB P,0/0,0,0,0,83,316.8,1.8,42.4,312.3,1.1,78.1
67,Ka'Deem Carey Chi RB Q,0/0,0,0,0,87.6,367.3,2.4,14,107.4,0.4,61.3
68,Benjamin Cunningham LA RB,0/0,0,0,0,38.3,157.7,1.2,24.3,198.7,0.5,43.9
69,Kenyan Drake Mia RB Q,0/0,0,0,0,28.5,112.3,0.6,13.3,96.1,0.4,25.6
70,Robert Turbin Ind RB,0/0,0,0,0,61.9,249.4,1.2,12.9,96.1,0.5,43.2
71,Chris Thompson Wsh RB P,0/0,0,0,0,49.1,220.5,1.1,43.2,360,1.5,71.2
72,C.J. Spiller NO RB,0/0,0,0,0,31.3,134.2,0.8,37.1,273.7,1.1,52.2
73,Cameron Artis-Payne Car RB,0/0,0,0,0,66.3,272.7,1.9,7.5,55.7,0.3,43.7
74,Keith Marshall Wsh RB Q,0/0,0,0,0,37.8,158.3,1,4.4,32.8,0.1,24.3
75,Mike Gillislee Buf RB Q,0/0,0,0,0,55.2,233.1,1.8,6.7,48.5,0.2,38.6
76,Andre Ellington Ari RB,0/0,0,0,0,41.9,174.6,1.1,16.7,143.6,0.7,40.7
77,Tyler Ervin Hou RB,0/0,0,0,0,38.8,156.4,1.1,12.5,92.4,0.4,34.5
78,Branden Oliver SD RB,0/0,0,0,0,34.6,134.4,0.7,4.6,33.3,0.1,21.1
79,Khiry Robinson NYJ RB P,0/0,0,0,0,55.8,232.2,1.4,4.1,30.9,0.1,35
80,Ronnie Hillman Den RB,0/0,0,0,0,17,68.3,0.5,3.7,27.3,0.1,11.4
