PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
RNK,PLAYER TEAM POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
1,Adrian Peterson Min RB,0/0,0,0,0,300.3,1394.6,10,29.4,227.2,0.8,219.7
2,Todd Gurley LA RB,0/0,0,0,0,297.8,1323.1,10.5,38.5,309.3,0.9,226.4
3,Ezekiel Elliott Dal RB,0/0,0,0,0,256.2,1115.5,8.4,42,357.8,1.5,202.3
4,David Johnson Ari RB,0/0,0,0,0,251.1,1037.8,8.2,58.3,531.1,2.6,216.5
5,Devonta Freeman Atl RB,0/0,0,0,0,232.2,926.1,6.7,69.1,549.2,2.3,197.6
6,Le'Veon Bell Pit RB SSPD,0/0,0,0,0,215.4,942.2,6.3,56.4,483.7,2.5,196.2
7,Lamar Miller Hou RB,0/0,0,0,0,280.5,1235,7.2,43.7,325.3,1.3,204.6
8,Doug Martin TB RB,0/0,0,0,0,268.8,1196.8,6.6,31.8,247.1,1,185
9,Mark Ingram NO RB,0/0,0,0,0,234.7,977.6,8.5,56.4,392,1.8,195.2
10,Eddie Lacy GB RB,0/0,0,0,0,232.5,999.2,6.2,29.1,234.8,1.3,162.9
11,Jamaal Charles KC RB P,0/0,0,0,0,218.7,1121.6,8.4,46.8,392.3,2.2,207.2
12,LeSean McCoy Buf RB,0/0,0,0,0,266.8,1173.2,8.6,43.1,319.4,1.6,206.9
13,Jonathan Stewart Car RB,0/0,0,0,0,236.7,1021.7,6.6,20.1,149,0.6,156.4
14,Carlos Hyde SF RB Q,0/0,0,0,0,255.2,1025.4,7.1,33.9,241.9,0.9,172.1
15,C.J. Anderson Den RB,0/0,0,0,0,233.4,1041.4,7,26,207.9,0.8,168.8
16,Thomas Rawls Sea RB P,0/0,0,0,0,218.3,1015.6,5.6,17.9,144,1,153.3
17,Matt Forte NYJ RB P,0/0,0,0,0,187.5,770.1,4.3,48,402.5,1.5,150.7
18,Jeremy Hill Cin RB,0/0,0,0,0,222.3,910.5,7.3,19,141.4,0.8,149.1
19,Latavius Murray Oak RB,0/0,0,0,0,229.6,973.4,5.5,33.4,237.9,1.6,159.6
20,Ryan Mathews Phi RB,0/0,0,0,0,204.6,927.2,6.1,25.3,186.4,0.5,145.4
21,DeMarco Murray Ten RB,0/0,0,0,0,224.9,982.1,7.4,25.3,192.9,0.6,163.1
22,Jeremy Langford Chi RB,0/0,0,0,0,212,855,6.2,34.4,306.9,1.1,155.4
23,Matt Jones Wsh RB Q,0/0,0,0,0,222.8,888.7,5.1,21.8,213.6,0.9,137.3
24,Arian Foster Mia RB,0/0,0,0,0,156.7,666.2,4.7,35.6,291.3,1.5,128.6
25,Melvin Gordon SD RB,0/0,0,0,0,238.6,914.1,3.9,33.1,218.5,1.1,134.1
26,Duke Johnson Jr. Cle RB,0/0,0,0,0,135,547.5,3.3,50.5,398.6,1.4,120.1
27,Danny Woodhead SD RB,0/0,0,0,0,100,402.4,2.2,69.4,610.6,3.7,136.9
28,Frank Gore Ind RB,0/0,0,0,0,222.2,900.2,5.5,32.6,277,1.4,155.9
29,Rashad Jennings NYG RB,0/0,0,0,0,194.8,853,4.8,32,255.1,1,143.2
30,T.J. Yeldon Jax RB,0/0,0,0,0,155,645.7,3.7,35.7,274.8,1.4,119.2
31,Giovani Bernard Cin RB,0/0,0,0,0,152.6,654.9,4,49.5,408.8,1.3,135.8
32,Ameer Abdullah Det RB P,0/0,0,0,0,187.1,800.2,4.7,37.2,294,1.2,139.2
33,Chris Ivory Jax RB,0/0,0,0,0,163.7,718.5,5,20.3,142.6,0.7,117.5
34,Derrick Henry Ten RB,0/0,0,0,0,157.4,670.1,6.6,17.1,141.1,0.6,121.6
35,DeAngelo Williams Pit RB,0/0,0,0,0,126.4,594.9,3.4,12.4,91.1,0.4,89.2
36,Bilal Powell NYJ RB,0/0,0,0,0,127.6,521.5,2.7,42.7,338.2,1.3,107.1
37,Jay Ajayi Mia RB,0/0,0,0,0,117.5,478.4,3.6,18,133.3,0.5,83.6
38,Theo Riddick Det RB,0/0,0,0,0,63.6,257.2,1.9,69,599.6,2.8,111.6
39,Justin Forsett Bal RB,0/0,0,0,0,145.1,659.4,3.5,27.1,183.5,0.7,108.3
40,Charles Sims TB RB,0/0,0,0,0,105.9,438.8,2.4,54.7,460.3,1.9,112.7
