Player,Position,Score,Value over Avg,Value over Next
Torrey Smith SF WR,WR,180.91,-18.68,0.88
Matt Ryan Atl QB,QB,250.08,-19.16,0.42
Tyler Lockett Sea WR,WR,180.03,-19.56,6.87
Joe Flacco Bal QB P,QB,249.66,-19.58,11.57
Clive Walford Oak TE P,TE,140.74,-21.47,3.81
Bilal Powell NYJ RB,RB,152.65,-23.28,4.42
Dwayne Allen Ind TE,TE,136.93,-25.28,9.26
Corey Coleman Cle WR P,WR,173.16,-26.43,0.35
Michael Thomas NO WR,WR,172.81,-26.78,3.99
Shane Vereen NYG RB,RB,148.23,-27.70,5.90
Mohamed Sanu Atl WR,WR,168.82,-30.77,4.79
Marcus Mariota Ten QB,QB,238.09,-31.15,5.16
Darren Sproles Phi RB,RB,142.33,-33.60,1.51
Benjamin Watson Bal TE,TE,127.67,-34.54,3.62
Derrick Henry Ten RB,RB,140.82,-35.11,0.21
Chris Ivory Jax RB,RB,140.61,-35.32,4.03
Markus Wheaton Pit WR P,WR,164.03,-35.56,1.46
Tom Brady NE QB SSPD,QB,232.92,-36.32,0.44
Jay Cutler Chi QB,QB,232.48,-36.76,3.08
Allen Hurns Jax WR,WR,162.57,-37.02,1.54
Kyle Rudolph Min TE,TE,124.05,-38.16,1.55
Pierre Garcon Wsh WR,WR,161.03,-38.56,0.22
Vincent Jackson TB WR,WR,160.81,-38.78,0.30
Stefon Diggs Min WR,WR,160.51,-39.08,1.41
Justin Forsett Bal RB,RB,136.58,-39.35,4.37
Jordan Cameron Mia TE,TE,122.50,-39.71,2.94
Teddy Bridgewater Min QB P,QB,229.40,-39.84,26.68
Devin Funchess Car WR,WR,159.10,-40.49,3.77
Jared Cook GB TE,TE,119.56,-42.65,12.72
Isaiah Crowell Cle RB,RB,132.21,-43.72,3.02
Steve Smith Sr. Bal WR Q,WR,155.33,-44.26,0.04
Travis Benjamin SD WR,WR,155.29,-44.30,3.78
LeGarrette Blount NE RB,RB,129.19,-46.74,6.46
Will Fuller Hou WR,WR,151.51,-48.08,0.14
Josh Gordon Cle WR SSPD,WR,151.37,-48.22,6.06
Shaun Draughn SF RB P,RB,122.73,-53.20,3.33
