Player,Position,Score,Value over Avg,Value over Next
Tyler Lockett Sea WR,WR,117.78,-20.94,3.17
LeGarrette Blount NE RB,RB,124.68,-21.55,0.36
Derrick Henry Ten RB,RB,124.32,-21.91,1.51
Kyle Rudolph Min TE,TE,75.73,-22.25,3.63
Duke Johnson Jr. Cle RB,RB,122.81,-23.42,0.16
T.J. Yeldon Jax RB,RB,122.65,-23.58,2.34
DeVante Parker Mia WR,WR,114.61,-24.11,0.01
Sterling Shepard NYG WR,WR,114.60,-24.12,0.59
Michael Thomas NO WR,WR,114.01,-24.71,0.61
Willie Snead NO WR,WR,113.40,-25.32,3.80
Maxx Williams Bal TE P,TE,72.10,-25.88,2.65
Chris Ivory Jax RB,RB,120.31,-25.92,3.60
Austin Seferian-Jenkins TB TE,TE,69.45,-28.53,1.98
Vincent Jackson TB WR,WR,109.60,-29.12,2.35
Isaiah Crowell Cle RB,RB,116.71,-29.52,1.00
Vance McDonald SF TE,TE,67.47,-30.51,2.18
Charles Sims TB RB,RB,115.71,-30.52,1.83
Devin Funchess Car WR,WR,107.25,-31.47,0.38
Allen Hurns Jax WR,WR,106.87,-31.85,2.91
Theo Riddick Det RB,RB,113.88,-32.35,3.91
Ladarius Green* Pit TE O,TE,65.29,-32.69,6.56
Josh Gordon Cle WR SSPD,WR,103.96,-34.76,0.29
Corey Coleman Cle WR,WR,103.67,-35.05,0.18
Mohamed Sanu Atl WR,WR,103.49,-35.23,0.57
Marcus Mariota Ten QB,QB,251.83,-35.39,6.81
Travis Benjamin SD WR,WR,102.92,-35.80,0.60
Bilal Powell NYJ RB,RB,109.97,-36.26,0.48
Will Fuller Hou WR,WR,102.32,-36.40,1.95
Justin Forsett Bal RB,RB,109.49,-36.74,2.49
Steve Smith Sr. Bal WR Q,WR,100.37,-38.35,0.03
Pierre Garcon Wsh WR,WR,100.34,-38.38,0.95
Devontae Booker Den RB,RB,107.00,-39.23,8.35
Virgil Green Den TE,TE,58.73,-39.25,0.55
Markus Wheaton Pit WR,WR,99.39,-39.33,0.01
Stefon Diggs Min WR,WR,99.38,-39.34,3.88
Will Tye NYG TE,TE,58.18,-39.80,0.02
Jacob Tamme Atl TE,TE,58.16,-39.82,6.84
Jay Cutler Chi QB,QB,245.01,-42.21,4.53
Kenny Britt LA WR,WR,95.50,-43.22,0.04
Terrance Williams Dal WR P,WR,95.46,-43.26,4.38
Jace Amaro NYJ TE Q,TE,51.32,-46.66,8.24
Tom Brady NE QB SSPD,QB,240.48,-46.74,0.03
Teddy Bridgewater Min QB P,QB,240.45,-46.77,7.08
Darren Sproles Phi RB,RB,98.65,-47.58,0.62
Kenny Stills Mia WR,WR,91.08,-47.64,0.15
Kamar Aiken Bal WR,WR,90.93,-47.79,2.53
Shane Vereen NYG RB,RB,98.03,-48.20,2.04
Tevin Coleman Atl RB,RB,95.99,-50.24,4.59
Tyler Boyd Cin WR,WR,88.40,-50.32,0.80
Phillip Dorsett Ind WR,WR,87.60,-51.12,1.25
Mike Wallace Bal WR,WR,86.35,-52.37,0.53
Rishard Matthews Ten WR,WR,85.82,-52.90,4.67
Robert Griffin Cle QB,QB,233.37,-53.85,41.24
DeAngelo Williams Pit RB,RB,91.40,-54.83,3.00
Austin Hooper Atl TE,TE,43.08,-54.90,1.05
Tyler Higbee LA TE,TE,42.03,-55.95,2.44
Sammie Coates Pit WR,WR,81.15,-57.57,1.87
James Starks GB RB,RB,88.40,-57.83,2.63
Hunter Henry SD TE,TE,39.59,-58.39,1.01
Lance Kendricks LA TE,TE,38.58,-59.40,1.42
Tavon Austin LA WR,WR,79.28,-59.44,0.97
Bruce Ellington SF WR Q,WR,78.31,-60.41,1.38
Jay Ajayi Mia RB,RB,85.77,-60.46,4.03
Cameron Brate TB TE,TE,37.16,-60.82,0.86
Jesse James Pit TE,TE,36.30,-61.68,4.74
Anquan Boldin Det WR,WR,76.93,-61.79,2.17
Ted Ginn Jr. Car WR,WR,74.76,-63.96,1.05
Jerick McKinnon Min RB,RB,81.74,-64.49,1.43
Terrelle Pryor Cle WR,WR,73.71,-65.01,1.54
